Gene_ID,HGNC,Pathway_ID,Pathway_Name
10327,AKR1A1,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
10327,AKR1A1,hsa00040,Pentose and glucuronate interconversions - Homo sapiens (human)
10327,AKR1A1,hsa00053,Ascorbate and aldarate metabolism - Homo sapiens (human)
10327,AKR1A1,hsa00561,Glycerolipid metabolism - Homo sapiens (human)
10327,AKR1A1,hsa00620,Pyruvate metabolism - Homo sapiens (human)
10327,AKR1A1,hsa01100,Metabolic pathways - Homo sapiens (human)
10327,AKR1A1,hsa01240,Biosynthesis of cofactors - Homo sapiens (human)
10327,AKR1A1,hsa05208,Chemical carcinogenesis - reactive oxygen species - Homo sapiens (human)
124,ADH1A,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
124,ADH1A,hsa00071,Fatty acid degradation - Homo sapiens (human)
124,ADH1A,hsa00350,Tyrosine metabolism - Homo sapiens (human)
124,ADH1A,hsa00620,Pyruvate metabolism - Homo sapiens (human)
124,ADH1A,hsa00830,Retinol metabolism - Homo sapiens (human)
124,ADH1A,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)
124,ADH1A,hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human)
124,ADH1A,hsa01100,Metabolic pathways - Homo sapiens (human)
124,ADH1A,hsa04936,Alcoholic liver disease - Homo sapiens (human)
125,ADH1B,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
125,ADH1B,hsa00071,Fatty acid degradation - Homo sapiens (human)
125,ADH1B,hsa00350,Tyrosine metabolism - Homo sapiens (human)
125,ADH1B,hsa00620,Pyruvate metabolism - Homo sapiens (human)
125,ADH1B,hsa00830,Retinol metabolism - Homo sapiens (human)
125,ADH1B,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)
125,ADH1B,hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human)
125,ADH1B,hsa01100,Metabolic pathways - Homo sapiens (human)
125,ADH1B,hsa04936,Alcoholic liver disease - Homo sapiens (human)
126,ADH1C,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
126,ADH1C,hsa00071,Fatty acid degradation - Homo sapiens (human)
126,ADH1C,hsa00350,Tyrosine metabolism - Homo sapiens (human)
126,ADH1C,hsa00620,Pyruvate metabolism - Homo sapiens (human)
126,ADH1C,hsa00830,Retinol metabolism - Homo sapiens (human)
126,ADH1C,hsa00980,Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)
126,ADH1C,hsa00982,Drug metabolism - cytochrome P450 - Homo sapiens (human)
126,ADH1C,hsa01100,Metabolic pathways - Homo sapiens (human)
126,ADH1C,hsa04936,Alcoholic liver disease - Homo sapiens (human)
127,ADH4,hsa00010,Glycolysis / Gluconeogenesis - Homo sapiens (human)
127,ADH4,hsa00071,Fatty acid degradation - Homo sapiens (human)
127,ADH4,hsa00350,Tyrosine metabolism - Homo sapiens (human)
127,ADH4,hsa00620,Pyruvate metabolism - Homo sapiens (human)
127,ADH4,hsa00830,Retinol metabolism - Homo sapiens (human)
