ID,Drug1,Drug2,cell_line,Bliss,classification
1,5-FU,ABT-888,A2058,6.26,synergy
2,5-FU,ABT-888,A2058,12.33,synergy
3,5-FU,ABT-888,A2058,11.66,synergy
4,5-FU,ABT-888,A2058,5.15,synergy
5,5-FU,AZD1775,A2058,15.77,synergy
6,5-FU,AZD1775,A2058,6.52,synergy
7,5-FU,AZD1775,A2058,15.18,synergy
8,5-FU,AZD1775,A2058,7.36,synergy
9,5-FU,BEZ-235,A2058,3.38,synergy
10,5-FU,BEZ-235,A2058,3.29,synergy
11,5-FU,BEZ-235,A2058,3.43,synergy
12,5-FU,BEZ-235,A2058,5.25,synergy
13,5-FU,BORTEZOMIB,A2058,4.93,synergy
14,5-FU,BORTEZOMIB,A2058,3.39,synergy
15,5-FU,BORTEZOMIB,A2058,3.37,synergy
16,5-FU,DASATINIB,A2058,4.5,synergy
17,5-FU,DASATINIB,A2058,9.25,synergy
18,5-FU,DASATINIB,A2058,6.99,synergy
19,5-FU,DASATINIB,A2058,9.54,synergy
20,5-FU,DINACICLIB,A2058,10.69,synergy
21,5-FU,DINACICLIB,A2058,4.68,synergy
22,5-FU,DINACICLIB,A2058,4.79,synergy
23,5-FU,ERLOTINIB,A2058,15.69,synergy
24,5-FU,ERLOTINIB,A2058,8.51,synergy
25,5-FU,ERLOTINIB,A2058,10,synergy
26,5-FU,ERLOTINIB,A2058,12.14,synergy
27,5-FU,GELDANAMYCIN,A2058,4.17,synergy
28,5-FU,GELDANAMYCIN,A2058,5.91,synergy
29,5-FU,GELDANAMYCIN,A2058,6.83,synergy
30,5-FU,GELDANAMYCIN,A2058,7.19,synergy
31,5-FU,L778123,A2058,4.54,synergy
32,5-FU,L778123,A2058,8.05,synergy
33,5-FU,L778123,A2058,9.48,synergy
34,5-FU,L778123,A2058,8.62,synergy
35,5-FU,LAPATINIB,A2058,8.67,synergy
36,5-FU,LAPATINIB,A2058,7.2,synergy
37,5-FU,LAPATINIB,A2058,14.72,synergy
38,5-FU,LAPATINIB,A2058,7.92,synergy
39,5-FU,MK-2206,A2058,13.55,synergy
40,5-FU,MK-2206,A2058,4.44,synergy
41,5-FU,MK-2206,A2058,8.07,synergy
42,5-FU,MK-2206,A2058,8.9,synergy
43,5-FU,MK-5108,A2058,13.16,synergy
44,5-FU,MK-5108,A2058,6.35,synergy
45,5-FU,MK-5108,A2058,7.15,synergy
46,5-FU,MK-5108,A2058,5.15,synergy
47,5-FU,MK-8669,A2058,12.43,synergy
48,5-FU,MK-8669,A2058,7.98,synergy
49,5-FU,MK-8669,A2058,10.68,synergy
50,5-FU,MK-8669,A2058,11.1,synergy
51,5-FU,MK-8776,A2058,13.39,synergy
52,5-FU,MK-8776,A2058,5.06,synergy
53,5-FU,MK-8776,A2058,7.25,synergy
54,5-FU,PD325901,A2058,3.61,synergy
55,5-FU,PD325901,A2058,9.49,synergy
56,5-FU,SORAFENIB,A2058,9,synergy
57,5-FU,SORAFENIB,A2058,21.44,synergy
58,5-FU,SORAFENIB,A2058,10.84,synergy
59,5-FU,SORAFENIB,A2058,15.71,synergy
60,5-FU,SUNITINIB,A2058,11.43,synergy
61,5-FU,SUNITINIB,A2058,20.45,synergy
62,5-FU,SUNITINIB,A2058,12.97,synergy
63,5-FU,SUNITINIB,A2058,11.77,synergy
64,5-FU,TEMOZOLOMIDE,A2058,-4.68,antagonism
65,5-FU,ZOLINZA,A2058,9.06,synergy
66,5-FU,ZOLINZA,A2058,7.55,synergy
67,5-FU,ZOLINZA,A2058,6.74,synergy
68,5-FU,ZOLINZA,A2058,17.75,synergy
69,ABT-888,BEZ-235,A2058,8.28,synergy
70,ABT-888,BEZ-235,A2058,7.2,synergy
71,ABT-888,BEZ-235,A2058,21.06,synergy
72,ABT-888,BEZ-235,A2058,8.78,synergy
73,ABT-888,DINACICLIB,A2058,9.87,synergy
74,ABT-888,DINACICLIB,A2058,7.84,synergy
75,ABT-888,DINACICLIB,A2058,4.97,synergy
76,ABT-888,DINACICLIB,A2058,7.39,synergy
77,ABT-888,GELDANAMYCIN,A2058,12.32,synergy
78,ABT-888,GELDANAMYCIN,A2058,19.66,synergy
79,ABT-888,GELDANAMYCIN,A2058,12.18,synergy
80,ABT-888,GELDANAMYCIN,A2058,11.66,synergy
81,ABT-888,MK-8669,A2058,15.38,synergy
82,ABT-888,MK-8669,A2058,4.33,synergy
83,ABT-888,MK-8669,A2058,10.09,synergy
84,ABT-888,MK-8669,A2058,9.85,synergy
85,ABT-888,MK-8776,A2058,8.2,synergy
86,ABT-888,MK-8776,A2058,9.18,synergy
87,ABT-888,OXALIPLATIN,A2058,4.68,synergy
88,ABT-888,OXALIPLATIN,A2058,3.63,synergy
89,ABT-888,OXALIPLATIN,A2058,3.11,synergy
90,ABT-888,OXALIPLATIN,A2058,6.59,synergy
91,ABT-888,SN-38,A2058,20.2,synergy
92,ABT-888,SN-38,A2058,23.77,synergy
93,ABT-888,SN-38,A2058,21.69,synergy
94,ABT-888,SN-38,A2058,24.02,synergy
95,ABT-888,SORAFENIB,A2058,38.55,synergy
96,ABT-888,SORAFENIB,A2058,39.42,synergy
97,ABT-888,SORAFENIB,A2058,13.37,synergy
98,ABT-888,SORAFENIB,A2058,54.24,synergy
99,ABT-888,TOPOTECAN,A2058,3.26,synergy
100,ABT-888,TOPOTECAN,A2058,4.38,synergy
101,AZD1775,ABT-888,A2058,6.97,synergy
102,AZD1775,ABT-888,A2058,10.9,synergy
103,AZD1775,ABT-888,A2058,10.69,synergy
104,AZD1775,ABT-888,A2058,5.8,synergy
105,AZD1775,BEZ-235,A2058,4.6,synergy
106,AZD1775,BEZ-235,A2058,10.75,synergy
107,AZD1775,BEZ-235,A2058,9.63,synergy
108,AZD1775,BEZ-235,A2058,8.31,synergy
109,AZD1775,BORTEZOMIB,A2058,4.54,synergy
110,AZD1775,BORTEZOMIB,A2058,5.37,synergy
111,AZD1775,DASATINIB,A2058,13.15,synergy
112,AZD1775,DASATINIB,A2058,16.4,synergy
113,AZD1775,DASATINIB,A2058,13.33,synergy
114,AZD1775,DASATINIB,A2058,13.44,synergy
115,AZD1775,DINACICLIB,A2058,8.18,synergy
116,AZD1775,ERLOTINIB,A2058,7.42,synergy
117,AZD1775,ERLOTINIB,A2058,4.16,synergy
118,AZD1775,ERLOTINIB,A2058,6.27,synergy
119,AZD1775,ERLOTINIB,A2058,8.62,synergy
120,AZD1775,GELDANAMYCIN,A2058,10.91,synergy
121,AZD1775,GELDANAMYCIN,A2058,3.98,synergy
122,AZD1775,GELDANAMYCIN,A2058,5.46,synergy
123,AZD1775,GELDANAMYCIN,A2058,8.31,synergy
124,AZD1775,LAPATINIB,A2058,9.31,synergy
125,AZD1775,LAPATINIB,A2058,12.9,synergy
126,AZD1775,LAPATINIB,A2058,6.89,synergy
127,AZD1775,LAPATINIB,A2058,8.96,synergy
128,AZD1775,MK-2206,A2058,8.25,synergy
129,AZD1775,MK-2206,A2058,9.12,synergy
130,AZD1775,MK-2206,A2058,7.79,synergy
131,AZD1775,MK-2206,A2058,5.62,synergy
132,AZD1775,MK-4827,A2058,18.22,synergy
133,AZD1775,MK-4827,A2058,17.79,synergy
134,AZD1775,MK-4827,A2058,8.93,synergy
135,AZD1775,MK-4827,A2058,19.36,synergy
136,AZD1775,MK-8669,A2058,20.56,synergy
137,AZD1775,MK-8669,A2058,10.58,synergy
138,AZD1775,MK-8669,A2058,12.42,synergy
139,AZD1775,MK-8669,A2058,12.19,synergy
140,AZD1775,MK-8776,A2058,31.63,synergy
