cell_line,drugA_name,drugB_name,mean_bliss,tissue
A2058,5-FU,ABT-888,8.85,skin
A2058,5-FU,AZD1775,11.2075,skin
A2058,5-FU,BEZ-235,3.8375,skin
A2058,5-FU,BORTEZOMIB,3.8966666666666665,skin
A2058,5-FU,DASATINIB,7.57,skin
A2058,5-FU,DINACICLIB,6.72,skin
A2058,5-FU,ERLOTINIB,11.585,skin
A2058,5-FU,GELDANAMYCIN,6.025,skin
A2058,5-FU,L778123,7.672499999999999,skin
A2058,5-FU,LAPATINIB,9.6275,skin
A2058,5-FU,MK-2206,8.74,skin
A2058,5-FU,MK-5108,7.952500000000001,skin
A2058,5-FU,MK-8669,10.5475,skin
A2058,5-FU,MK-8776,5.43,skin
A2058,5-FU,PD325901,6.55,skin
A2058,5-FU,SORAFENIB,14.2475,skin
A2058,5-FU,SUNITINIB,14.155,skin
A2058,5-FU,TEMOZOLOMIDE,-4.68,skin
A2058,5-FU,ZOLINZA,10.275,skin
A2058,ABT-888,BEZ-235,11.33,skin
A2058,ABT-888,DINACICLIB,7.5175,skin
A2058,ABT-888,GELDANAMYCIN,13.955,skin
A2058,ABT-888,MK-8669,9.9125,skin
A2058,ABT-888,MK-8776,8.69,skin
A2058,ABT-888,OXALIPLATIN,4.5024999999999995,skin
A2058,ABT-888,SN-38,22.42,skin
A2058,ABT-888,SORAFENIB,36.394999999999996,skin
A2058,ABT-888,TOPOTECAN,3.82,skin
A2058,AZD1775,ABT-888,8.59,skin
A2058,AZD1775,BEZ-235,5.16,skin
A2058,AZD1775,BORTEZOMIB,4.955,skin
A2058,AZD1775,DASATINIB,8.512857142857142,skin
A2058,AZD1775,DINACICLIB,8.18,skin
A2058,AZD1775,ERLOTINIB,6.6175,skin
A2058,AZD1775,GELDANAMYCIN,7.165,skin
A2058,AZD1775,LAPATINIB,9.515,skin
A2058,AZD1775,MK-2206,7.695,skin
A2058,AZD1775,MK-4827,16.075,skin
A2058,AZD1775,MK-8669,13.9375,skin
A2058,AZD1775,MK-8776,23.80625,skin
A2058,AZD1775,OXALIPLATIN,6.1675,skin
A2058,AZD1775,PD325901,6.7025,skin
A2058,AZD1775,SN-38,9.28,skin
A2058,AZD1775,SORAFENIB,9.925,skin
A2058,AZD1775,TOPOTECAN,5.7700000000000005,skin
A2058,BEZ-235,DINACICLIB,6.510000000000001,skin
A2058,BEZ-235,MK-8776,8.785,skin
A2058,BEZ-235,OXALIPLATIN,9.085,skin
A2058,BEZ-235,SN-38,3.54,skin
A2058,BEZ-235,SORAFENIB,10.5875,skin
A2058,BORTEZOMIB,ABT-888,5.7775,skin
A2058,BORTEZOMIB,BEZ-235,5.1866666666666665,skin
A2058,BORTEZOMIB,DASATINIB,5.346666666666667,skin
A2058,BORTEZOMIB,DINACICLIB,3.38,skin
A2058,BORTEZOMIB,GELDANAMYCIN,3.9850000000000003,skin
A2058,BORTEZOMIB,MK-8669,3.8,skin
A2058,BORTEZOMIB,MK-8776,7.205,skin
A2058,BORTEZOMIB,OXALIPLATIN,4.06,skin
A2058,BORTEZOMIB,SN-38,13.522499999999999,skin
A2058,BORTEZOMIB,SORAFENIB,13.985,skin
A2058,BORTEZOMIB,TOPOTECAN,5.04,skin
A2058,CARBOPLATIN,ABT-888,4.745,skin
A2058,CARBOPLATIN,AZD1775,14.3125,skin
A2058,CARBOPLATIN,BEZ-235,3.34,skin
A2058,CARBOPLATIN,BORTEZOMIB,6.16,skin
A2058,CARBOPLATIN,DASATINIB,6.723333333333334,skin
A2058,CARBOPLATIN,DINACICLIB,9.906666666666666,skin
A2058,CARBOPLATIN,ERLOTINIB,9.31,skin
A2058,CARBOPLATIN,GELDANAMYCIN,7.6375,skin
A2058,CARBOPLATIN,L778123,8.450000000000001,skin
A2058,CARBOPLATIN,LAPATINIB,11.076666666666666,skin
A2058,CARBOPLATIN,MK-2206,6.7299999999999995,skin
A2058,CARBOPLATIN,MK-4827,5.4399999999999995,skin
A2058,CARBOPLATIN,MK-5108,6.11,skin
A2058,CARBOPLATIN,MK-8669,7.5566666666666675,skin
A2058,CARBOPLATIN,MK-8776,9.0375,skin
A2058,CARBOPLATIN,PD325901,-6.753333333333334,skin
A2058,CARBOPLATIN,SORAFENIB,6.58,skin
A2058,CARBOPLATIN,SUNITINIB,9.405,skin
A2058,CARBOPLATIN,TEMOZOLOMIDE,-4.57,skin
A2058,CARBOPLATIN,ZOLINZA,10.595,skin
A2058,CYCLOPHOSPHAMIDE,ABT-888,18.462500000000002,skin
A2058,CYCLOPHOSPHAMIDE,AZD1775,7.4525,skin
A2058,CYCLOPHOSPHAMIDE,BEZ-235,8.185,skin
A2058,CYCLOPHOSPHAMIDE,BORTEZOMIB,5.845,skin
A2058,CYCLOPHOSPHAMIDE,DASATINIB,7.324999999999999,skin
A2058,CYCLOPHOSPHAMIDE,DINACICLIB,9.235,skin
A2058,CYCLOPHOSPHAMIDE,ERLOTINIB,6.845000000000001,skin
A2058,CYCLOPHOSPHAMIDE,GELDANAMYCIN,7.865,skin
A2058,CYCLOPHOSPHAMIDE,L778123,9.7425,skin
A2058,CYCLOPHOSPHAMIDE,LAPATINIB,7.8975,skin
A2058,CYCLOPHOSPHAMIDE,MK-2206,8.567499999999999,skin
A2058,CYCLOPHOSPHAMIDE,MK-4827,5.445,skin
A2058,CYCLOPHOSPHAMIDE,MK-5108,5.2875,skin
A2058,CYCLOPHOSPHAMIDE,MK-8669,11.29,skin
A2058,CYCLOPHOSPHAMIDE,MK-8776,4.89,skin
A2058,CYCLOPHOSPHAMIDE,PD325901,6.77,skin
A2058,CYCLOPHOSPHAMIDE,SORAFENIB,13.945,skin
A2058,CYCLOPHOSPHAMIDE,SUNITINIB,16.377499999999998,skin
A2058,CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,11.870000000000001,skin
A2058,CYCLOPHOSPHAMIDE,ZOLINZA,13.43,skin
A2058,DASATINIB,BEZ-235,9.185,skin
A2058,DASATINIB,DINACICLIB,7.8975,skin
A2058,DASATINIB,GELDANAMYCIN,-3.85,skin
A2058,DASATINIB,MK-8669,12.16,skin
A2058,DASATINIB,MK-8776,5.984999999999999,skin
A2058,DASATINIB,OXALIPLATIN,9.17,skin
