SIDM,cell_line_name,tissue
SIDM01076,697,Lymphoid
SIDM00807,5637,Bladder
SIDM00499,22RV1,Prostate
SIDM00980,23132-87,Stomach
SIDM00982,42-MG-BA,CNS
SIDM00999,639-V,Bladder
SIDM00983,647-V,Bladder
SIDM00803,769-P,Kidney
SIDM00125,786-0,Kidney
SIDM00997,8305C,Thyroid
SIDM00996,8505C,Thyroid
SIDM00998,8-MG-BA,CNS
SIDM00801,A101D,Skin
SIDM00799,A172,CNS
SIDM00798,A204,Soft_tissue
SIDM00797,A2058,Skin
SIDM00796,A253,Head
SIDM00210,A2780,Ovary
SIDM00795,A375,Skin
SIDM00495,A3-KAW,Lymphoid
SIDM00124,A498,Kidney
SIDM00502,A4-Fuk,Lymphoid
SIDM00903,A549,Lung
SIDM00848,A673,Bone
SIDM00849,A704,Kidney
SIDM00123,ACHN,Kidney
SIDM00850,AGS,Stomach
SIDM00211,ALL-PO,Lymphoid
SIDM00994,ALL-SIL,Lymphoid
SIDM00492,AM-38,CNS
SIDM00993,AMO-1,Lymphoid
SIDM00901,AN3-CA,Endometrium
SIDM00900,ARH-77,Lymphoid
SIDM00491,ASH-3,Thyroid
SIDM00899,AsPC-1,Pancreas
SIDM00233,ATN-1,Lymphoid
SIDM00898,AU565,Breast
SIDM00287,BALL-1,Lymphoid
SIDM00174,BB49-HNC,Head
SIDM00896,BC-1,Lymphoid
SIDM00992,B-CPAP,Thyroid
SIDM01245,BE-13,Lymphoid
SIDM01229,BE2-M17,PNS
SIDM00490,Becker,CNS
SIDM00989,BFTC-905,Bladder
SIDM00988,BFTC-909,Kidney
SIDM00987,BHT-101,Thyroid
SIDM00077,BICR10,Head
SIDM00485,BICR22,Head
SIDM00501,BICR78,Head
SIDM00985,BL-41,Lymphoid
SIDM00964,BPH-1,Prostate
SIDM00893,BT-20,Breast
SIDM00963,BT-474,Breast
SIDM00892,BT-483,Breast
SIDM00122,BT-549,Breast
SIDM00962,BV-173,Lymphoid
SIDM00132,BxPC-3,Pancreas
SIDM01233,C2BBe1,Colon
SIDM00890,C32,Skin
SIDM00889,C-33-A,Cervix
SIDM01237,C3A,Liver
SIDM00905,C-4-I,Cervix
SIDM00907,CA46,Lymphoid
SIDM00489,Ca9-22,Head
SIDM00961,CADO-ES1,Bone
SIDM00940,CAL-120,Breast
SIDM00938,CAL-148,Breast
SIDM00937,CAL-27,Head
SIDM00936,CAL-29,Bladder
SIDM00942,CAL-33,Head
SIDM00935,CAL-39,Vulva
SIDM00933,CAL-51,Breast
SIDM00932,CAL-54,Kidney
SIDM00931,CAL-62,Thyroid
SIDM00930,CAL-72,Bone
SIDM00929,CAL-78,Bone
SIDM00928,CAL-85-1,Breast
SIDM00922,Calu-3,Lung
SIDM00921,Calu-6,Lung
SIDM00920,CAMA-1,Breast
SIDM00918,Caov-4,Ovary
SIDM00934,CAPAN-1,Pancreas
SIDM00943,CAPAN-2,Pancreas
SIDM00488,CaR-1,Colon
SIDM00212,CAS-1,CNS
SIDM00923,Ca-Ski,Cervix
SIDM00487,CCK-81,Colon
SIDM00121,CCRF-CEM,Lymphoid
SIDM00917,CESS,Lymphoid
SIDM00130,CFPAC-1,Pancreas
SIDM01248,CGTH-W-1,Thyroid
SIDM01228,CHL-1,Skin
SIDM00285,CHP-134,PNS
SIDM00910,CHP-212,PNS
SIDM00176,CHSA8926,Bone
SIDM00944,CL-11,Colon
SIDM00960,CL-40,Colon
SIDM00958,CML-T1,Lymphoid
SIDM00826,COLO-205,Colon
SIDM00842,COLO-320-HSR,Colon
SIDM00143,COLO-668,Lung
SIDM00957,COLO-678,Colon
SIDM00284,COLO-679,Skin
SIDM00956,COLO-680N,Esophagus
SIDM00142,COLO-684,Endometrium
SIDM00140,COLO-792,Skin
SIDM00954,COLO-824,Breast
SIDM00909,COLO-829,Skin
SIDM00513,COR-L105,Lung
SIDM00512,COR-L23,Lung
SIDM00511,COR-L279,Lung
SIDM00509,COR-L311,Lung
SIDM00508,COR-L32,Lung
SIDM00506,COR-L88,Lung
SIDM00521,COR-L95,Lung
SIDM00953,CPC-N,Lung
SIDM00199,CS1,Bone
SIDM00951,CTV-1,Lymphoid
SIDM00282,CW-2,Colon
SIDM00732,D-263MG,CNS
SIDM00888,D-283MED,CNS
SIDM00542,D-392MG,CNS
SIDM00950,DAN-G,Pancreas
SIDM00887,Daoy,CNS
SIDM00845,Daudi,Lymphoid
SIDM00886,DB,Lymphoid
SIDM00867,DBTRG-05MG,CNS
SIDM00949,DEL,Lymphoid
SIDM00831,Detroit562,Head
SIDM00948,DG-75,Lymphoid
SIDM00049,DiFi,Colon
SIDM00947,DK-MG,CNS
SIDM00865,DMS-114,Lung
SIDM00522,DMS-273,Lung
SIDM00523,DMS-53,Lung
SIDM00946,DND-41,Lymphoid
SIDM00540,DOK,Head
SIDM00864,DoTc2-4510,Cervix
SIDM00969,DOV13,Ovary
SIDM00970,DSH1,Bladder
SIDM00120,DU-145,Prostate
SIDM01001,DU-4475,Breast
SIDM00863,EB2,Lymphoid
SIDM00793,EB-3,Lymphoid
SIDM00486,EBC-1,Lung
SIDM00280,ECC10,Stomach
SIDM00278,EC-GI-10,Esophagus
SIDM01056,EFM-19,Breast
SIDM01002,EFM-192A,Breast
SIDM01052,EFO-21,Ovary
SIDM01050,EGI-1,Biliary
SIDM01048,EJM,Lymphoid
SIDM01047,EM-2,Lymphoid
SIDM00047,EMC-BAC-2,Lung
SIDM01045,EN,Endometrium
SIDM00277,EoL-1-cell,Lymphoid
SIDM01044,EPLC-272H,Lung
SIDM00266,ES1,Bone
SIDM00861,ES-2,Ovary
SIDM00264,ES4,Bone
SIDM00262,ES6,Bone
SIDM00269,ES7,Bone
SIDM00261,ES8,Bone
SIDM00539,ESO26,Esophagus
SIDM00538,ESO51,Esophagus
SIDM01043,ESS-1,Endometrium
SIDM00276,ETK-1,Biliary
SIDM01042,EVSA-T,Breast
SIDM00205,EW-1,Bone
SIDM00203,EW-11,Bone
SIDM00621,EW-13,Bone
SIDM00198,EW-16,Bone
SIDM00197,EW-18,Bone
SIDM00196,EW-22,Bone
