drug_name,ChEMBL_ID,target
Cisplatin,CHEMBL11359,"DNA crosslinker, BCHE, CYP2B6, CYP2C9"
Docetaxel,CHEMBL92,
Navitoclax,CHEMBL443684,"BCL2, BCL-XL, BCL-W, BCL2, BCL2L1, BCL2L2"
Nilotinib,CHEMBL255863,"ABL, ABL1"
Olaparib,CHEMBL521686,"PARP1, PARP2, PARP1, PARP2"
Axitinib,CHEMBL1289926,"PDGFR, KIT, VEGFR, FLT1, KIT, PDGFRA, PDGFRB"
AZD7762,CHEMBL2041933,"CHEK1, CHEK2, CHEK1, CHEK2"
Afatinib,CHEMBL1173655,"EGFR, ERBB2, EGFR, ERBB2"
Nutlin-3a (-),CHEMBL191334,"MDM2, MDM2"
PD173074,CHEMBL189584,"FGFR1, FGFR2, FGFR3, FGFR1, FGFR2, FGFR3"
MK-2206,CHEMBL1079175,"AKT1, AKT2, AKT1, AKT2"
Palbociclib,CHEMBL189963,"CDK4, CDK6, CDK4, CDK6"
Pictilisib,CHEMBL521851,"PI3K (class 1), PIK3CA, PIK3CB, PIK3CD, PIK3CG"
5-Fluorouracil,CHEMBL185,
Crizotinib,CHEMBL601719,"MET, ALK, ROS1, ALK, MET, ROS1"
Oxaliplatin,CHEMBL414804,
MK-1775,CHEMBL1976040,"WEE1, PLK1, WEE1, PLK1"
Gemcitabine,CHEMBL888,
Trametinib,CHEMBL2103875,"MEK1, MEK2, MAP2K1, MAP2K2"
Dabrafenib,CHEMBL2028663,"BRAF, BRAF"
Temozolomide,CHEMBL810,
SN-38,CHEMBL837,"TOP1, TOP1"
Linsitinib,CHEMBL1091644,"IGF1R, IGF1R, INSR"
Sapitinib,CHEMBL2408045,"EGFR, ERBB2, ERBB3, EGFR, ERBB2, ERBB3"
Lapatinib,CHEMBL554,"EGFR, ERBB2, EGFR, ERBB2"
Taselisib,CHEMBL2387080,"PI3K (beta sparing), PIK3CA, PIK3CD, PIK3CG"
SCH772984,CHEMBL3590107,"ERK1, ERK2, MAPK1, MAPK3"
OSI-027,CHEMBL3120215,"MTORC1, MTORC2, MTOR"
LGK974,CHEMBL3188386,"PORCN, PORCN"
