CELL_LINE_NAME	tissue	ANCHOR_ID	LIBRARY_ID	ANCHOR_VIABILITY	LIBRARY_EMAX	SYNERGY_OBS_EMAX	SYNERGY_DELTA_EMAX	SYNERGY_DELTA_XMID	SYNERGY_DELTA_IC50	SYNERGY_EMAX	BLISS_VIS	HSA_VIS	HSA	BLISS	SUB_HSA	NO_SYNERGY_VIS	NO_BLISS_OR_HSA	ANCHOR_NAME	LIBRARY_NAME	ANCHOR_GENE_TARGET	LIBRARY_GENE_TARGET
5637	Bladder	1022	1005	0.911995872377094	0.648241109663582	0.3497322011392	0.242136906564746	3.06166099172957	1	1	0	1	1	1	0	0	0	AZD7762	Cisplatin	CHEK1;CHEK2	BCHE;CYP2B6;CYP2C9
639-V	Bladder	1022	1005	0.916942565334478	0.344995119961184	0.231429280557913	0.0856631358730407	0.630739658504687	0	0	0	1	1	1	0	0	0	AZD7762	Cisplatin	CHEK1;CHEK2	BCHE;CYP2B6;CYP2C9
647-V	Bladder	1022	1005	0.885572743369481	0.467069449243749	0.262486140330106	0.151122521362141	1.31982945878751	0	0	0	1	1	1	0	0	0	AZD7762	Cisplatin	CHEK1;CHEK2	BCHE;CYP2B6;CYP2C9
BFTC-905	Bladder	1022	1005	0.837632976439864	0.32953437286143	0.121178244095428	0.15483095023283	2.02339722991423	0	0	0	1	1	1	0	0	0	AZD7762	Cisplatin	CHEK1;CHEK2	BCHE;CYP2B6;CYP2C9
CAL-29	Bladder	1022	1005	0.840429353703136	0.853305013217267	0.517145802278504	0.20024591060927	3.68595421050029	1	1	1	1	1	1	0	0	0	AZD7762	Cisplatin	CHEK1;CHEK2	BCHE;CYP2B6;CYP2C9
DSH1	Bladder	1022	1005	0.750128644483897	0.767716140427994	0.439760851956179	0.135209995999406	2.5540787556468	0	0	1	1	1	1	0	0	0	AZD7762	Cisplatin	CHEK1;CHEK2	BCHE;CYP2B6;CYP2C9
HT-1197	Bladder	1022	1005	0.961688464704911	0.804620950313002	0.835262484185903	-0.0614677978099854	-1.56048113136198	0	0	0	1	0	0	0	1	1	AZD7762	Cisplatin	CHEK1;CHEK2	BCHE;CYP2B6;CYP2C9
HT-1376	Bladder	1022	1005	0.91147813931638	0.937696608462683	0.808663008313407	0.0460266217250182	2.48449265025115	0	0	0	1	1	1	0	0	0	AZD7762	Cisplatin	CHEK1;CHEK2	BCHE;CYP2B6;CYP2C9
J82	Bladder	1022	1005	0.954297525779723	0.621706483201099	0.475364832304853	0.11773537903093	1.46209411507077	0	0	0	1	1	1	0	0	0	AZD7762	Cisplatin	CHEK1;CHEK2	BCHE;CYP2B6;CYP2C9
KU-19-19	Bladder	1022	1005	0.528127852718462	0.80544062649195	0.356922483426251	0.0677504418082889	1.29377343471694	0	0	1	1	1	1	0	0	0	AZD7762	Cisplatin	CHEK1;CHEK2	BCHE;CYP2B6;CYP2C9
LB831-BLC	Bladder	1022	1005	0.923986889179882	0.732566891018289	0.443260098257157	0.234468762012421	3.23720139143058	1	1	0	1	1	1	0	0	0	AZD7762	Cisplatin	CHEK1;CHEK2	BCHE;CYP2B6;CYP2C9
RT-112	Bladder	1022	1005	0.842848976546119	0.90992802798929	0.454561674589992	0.312382647738711	6.61600526405499	1	1	1	1	1	1	0	0	0	AZD7762	Cisplatin	CHEK1;CHEK2	BCHE;CYP2B6;CYP2C9
RT4	Bladder	1022	1005	0.935059825665201	0.778159540847097	0.718542096825672	0.0090564055432272	0.248905298945232	0	0	0	1	1	1	0	0	0	AZD7762	Cisplatin	CHEK1;CHEK2	BCHE;CYP2B6;CYP2C9
SW1710	Bladder	1022	1005	0.863698583202832	0.938656603722058	0.43766951801751	0.373030338238243	6.92102104016544	1	1	0	1	1	1	0	0	0	AZD7762	Cisplatin	CHEK1;CHEK2	BCHE;CYP2B6;CYP2C9
SW780	Bladder	1022	1005	0.935717915990503	0.843016364640578	0.785697130478126	0.0031822351661397	0.109028963185321	0	0	0	1	1	1	0	0	0	AZD7762	Cisplatin	CHEK1;CHEK2	BCHE;CYP2B6;CYP2C9
TCCSUP	Bladder	1022	1005	0.797005257684083	0.693716585903083	0.343374962534112	0.209470772349905	3.71567462300103	1	1	1	1	1	1	0	0	0	AZD7762	Cisplatin	CHEK1;CHEK2	BCHE;CYP2B6;CYP2C9
UM-UC-3	Bladder	1022	1005	0.919620313571018	0.775977852173634	0.337897760171515	0.375678755128046	2.34136266762057	0	1	0	1	1	1	0	0	0	AZD7762	Cisplatin	CHEK1;CHEK2	BCHE;CYP2B6;CYP2C9
VM-CUB-1	Bladder	1022	1005	0.636810426550035	0.533757935422998	0.222599708161665	0.114091270172733	1.49787050772054	0	0	1	1	1	1	0	0	0	AZD7762	Cisplatin	CHEK1;CHEK2	BCHE;CYP2B6;CYP2C9
5637	Bladder	1179	1005	0.491602796713385	0.607405938988866	0.127581290598771	0.171021167748476	4.14908061805653	1	0	1	1	1	1	0	0	0	MK-1775	Cisplatin	WEE1;PLK1	BCHE;CYP2B6;CYP2C9
639-V	Bladder	1179	1005	0.539515695975004	0.387840652912484	0.104606440999959	0.10463967878352	1.39722940765443	0	0	1	1	1	1	0	0	0	MK-1775	Cisplatin	WEE1;PLK1	BCHE;CYP2B6;CYP2C9
647-V	Bladder	1179	1005	0.343592561029455	0.452906371422392	0.0637309635442152	0.0918842965193621	2.31408152828104	0	0	1	1	1	1	0	0	0	MK-1775	Cisplatin	WEE1;PLK1	BCHE;CYP2B6;CYP2C9
BFTC-905	Bladder	1179	1005	0.205880178796618	0.266234441095397	0.0365551339544912	0.0182572603800468	0.985692393191643	0	0	1	1	1	1	0	0	0	MK-1775	Cisplatin	WEE1;PLK1	BCHE;CYP2B6;CYP2C9
CAL-29	Bladder	1179	1005	0.430795040156986	0.836268537147406	0.170901575722013	0.189358762320428	5.85007589647895	1	0	1	1	1	1	0	0	0	MK-1775	Cisplatin	WEE1;PLK1	BCHE;CYP2B6;CYP2C9
DSH1	Bladder	1179	1005	0.580567026944753	0.712401400494159	0.310167230137592	0.103429532938581	2.31825185946519	0	0	1	1	1	1	0	0	0	MK-1775	Cisplatin	WEE1;PLK1	BCHE;CYP2B6;CYP2C9
HT-1376	Bladder	1179	1005	0.624648602199276	0.937942334898391	0.501451857510538	0.0844325109272669	5.34619680811511	1	0	0	1	1	1	0	0	0	MK-1775	Cisplatin	WEE1;PLK1	BCHE;CYP2B6;CYP2C9
J82	Bladder	1179	1005	0.648049672805403	0.672266867671712	0.32984305249779	0.105819271134776	1.93505319565268	0	0	1	1	1	1	0	0	0	MK-1775	Cisplatin	WEE1;PLK1	BCHE;CYP2B6;CYP2C9
KU-19-19	Bladder	1179	1005	0.29752656348864	0.728444296672588	0.173997250153783	0.0427342781281114	1.27071591295285	0	0	1	1	1	1	0	0	0	MK-1775	Cisplatin	WEE1;PLK1	BCHE;CYP2B6;CYP2C9
LB831-BLC	Bladder	1179	1005	0.779267734509016	0.754281813807777	0.341334924939178	0.24645255528816	3.73676184272792	1	1	1	1	1	1	0	0	0	MK-1775	Cisplatin	WEE1;PLK1	BCHE;CYP2B6;CYP2C9
RT-112	Bladder	1179	1005	0.403225534377194	0.897689237184759	0.161446276492126	0.200524945876353	7.76912407898999	1	1	0	1	1	1	0	0	0	MK-1775	Cisplatin	WEE1;PLK1	BCHE;CYP2B6;CYP2C9
RT4	Bladder	1179	1005	0.849968674280452	0.759774956309561	0.622297601625721	0.023487310740205	0.528786522271277	0	0	1	1	1	1	0	0	0	MK-1775	Cisplatin	WEE1;PLK1	BCHE;CYP2B6;CYP2C9
SW1710	Bladder	1179	1005	0.630043956625178	0.937022315575516	0.335478686041166	0.254886561110118	6.59478681504861	1	1	0	1	1	1	0	0	0	MK-1775	Cisplatin	WEE1;PLK1	BCHE;CYP2B6;CYP2C9
SW780	Bladder	1179	1005	0.892181688489946	0.818027809776182	0.721631476007797	0.0081979565500496	0.29844782138823	0	0	1	1	1	1	0	0	0	MK-1775	Cisplatin	WEE1;PLK1	BCHE;CYP2B6;CYP2C9
TCCSUP	Bladder	1179	1005	0.6154753847949	0.620676989179862	0.334589469195872	0.0474219395529439	1.07276032997308	0	0	1	1	1	1	0	0	0	MK-1775	Cisplatin	WEE1;PLK1	BCHE;CYP2B6;CYP2C9
UM-UC-3	Bladder	1179	1005	0.7591139275948	0.697801087661522	0.408590083343351	0.12112044099131	0.893930399411973	0	0	1	1	1	1	0	0	0	MK-1775	Cisplatin	WEE1;PLK1	BCHE;CYP2B6;CYP2C9
VM-CUB-1	Bladder	1179	1005	0.570035900332044	0.503163510698232	0.209176518139815	0.0776447466952839	1.12136346420596	0	0	1	1	1	1	0	0	0	MK-1775	Cisplatin	WEE1;PLK1	BCHE;CYP2B6;CYP2C9
5637	Bladder	1011	1007	0.825254460977272	0.32285344944366	0.2009068961834	0.0655293532118808	1.09862084944748	0	0	0	1	1	1	0	0	0	Navitoclax	Docetaxel	BCL2;BCL2L1;BCL2L2	
639-V	Bladder	1011	1007	0.834413156935384	0.387020180646014	0.124720895585404	0.198213835145139	1.84496702516492	0	0	0	1	1	1	0	0	0	Navitoclax	Docetaxel	BCL2;BCL2L1;BCL2L2	
647-V	Bladder	1011	1007	0.906157219583878	0.29617182626815	0.101354255317157	0.167023983293069	2.16292376282422	0	0	0	1	1	1	0	0	0	Navitoclax	Docetaxel	BCL2;BCL2L1;BCL2L2	
BFTC-905	Bladder	1011	1007	0.894471123711283	0.162417431961415	0.0993568352357739	0.045920867641054	0.834249698622402	0	0	0	1	1	1	0	0	0	Navitoclax	Docetaxel	BCL2;BCL2L1;BCL2L2	
CAL-29	Bladder	1011	1007	0.820707869246104	0.346030437543534	0.149712711177368	0.134277191913283	2.46430654185854	0	0	0	1	1	1	0	0	0	Navitoclax	Docetaxel	BCL2;BCL2L1;BCL2L2	
DSH1	Bladder	1011	1007	0.914480471301021	0.675362099217998	0.256939713746477	0.360665737045244	5.03540998965848	1	1	0	1	1	1	0	0	0	Navitoclax	Docetaxel	BCL2;BCL2L1;BCL2L2	
HT-1376	Bladder	1011	1007	0.426933809260754	0.776685516431286	0.312076631049112	0.0195166750785534	1.00613667344425	0	0	1	1	1	1	0	0	0	Navitoclax	Docetaxel	BCL2;BCL2L1;BCL2L2	
J82	Bladder	1011	1007	0.768927336849762	0.833060630519269	0.384736122672902	0.255826969386663	4.55330060566489	1	1	1	1	1	1	0	0	0	Navitoclax	Docetaxel	BCL2;BCL2L1;BCL2L2	
KU-19-19	Bladder	1011	1007	0.906463148280472	0.338971279356268	0.144291629708631	0.162973343353311	1.96560493408791	0	0	0	1	1	1	0	0	0	Navitoclax	Docetaxel	BCL2;BCL2L1;BCL2L2	
LB831-BLC	Bladder	1011	1007	0.69146805177125	0.43661067225582	0.132079848328755	0.169822482598513	3.23988143539479	1	0	1	1	1	1	0	0	0	Navitoclax	Docetaxel	BCL2;BCL2L1;BCL2L2	
RT-112	Bladder	1011	1007	0.934451657475736	0.394916867725219	0.272708820996294	0.0963219006146622	1.38686759890749	0	0	0	1	1	1	0	0	0	Navitoclax	Docetaxel	BCL2;BCL2L1;BCL2L2	
