tissue,cell_line,drug_name_A,drug_name_B,synergy
Bladder,5637,AZD7762,Cisplatin,1
Bladder,639-V,AZD7762,Cisplatin,1
Bladder,647-V,AZD7762,Cisplatin,1
Bladder,BFTC-905,AZD7762,Cisplatin,1
Bladder,CAL-29,AZD7762,Cisplatin,1
Bladder,DSH1,AZD7762,Cisplatin,1
Bladder,HT-1197,AZD7762,Cisplatin,0
Bladder,HT-1376,AZD7762,Cisplatin,1
Bladder,J82,AZD7762,Cisplatin,1
Bladder,KU-19-19,AZD7762,Cisplatin,1
Bladder,LB831-BLC,AZD7762,Cisplatin,1
Bladder,RT-112,AZD7762,Cisplatin,1
Bladder,RT4,AZD7762,Cisplatin,1
Bladder,SW1710,AZD7762,Cisplatin,1
Bladder,SW780,AZD7762,Cisplatin,1
Bladder,TCCSUP,AZD7762,Cisplatin,1
Bladder,UM-UC-3,AZD7762,Cisplatin,1
Bladder,VM-CUB-1,AZD7762,Cisplatin,1
Bladder,5637,MK-1775,Cisplatin,1
Bladder,639-V,MK-1775,Cisplatin,1
Bladder,647-V,MK-1775,Cisplatin,1
Bladder,BFTC-905,MK-1775,Cisplatin,1
Bladder,CAL-29,MK-1775,Cisplatin,1
Bladder,DSH1,MK-1775,Cisplatin,1
Bladder,HT-1376,MK-1775,Cisplatin,1
Bladder,J82,MK-1775,Cisplatin,1
Bladder,KU-19-19,MK-1775,Cisplatin,1
Bladder,LB831-BLC,MK-1775,Cisplatin,1
Bladder,RT-112,MK-1775,Cisplatin,1
Bladder,RT4,MK-1775,Cisplatin,1
Bladder,SW1710,MK-1775,Cisplatin,1
Bladder,SW780,MK-1775,Cisplatin,1
Bladder,TCCSUP,MK-1775,Cisplatin,1
Bladder,UM-UC-3,MK-1775,Cisplatin,1
Bladder,VM-CUB-1,MK-1775,Cisplatin,1
Bladder,5637,Navitoclax,Docetaxel,1
Bladder,639-V,Navitoclax,Docetaxel,1
Bladder,647-V,Navitoclax,Docetaxel,1
Bladder,BFTC-905,Navitoclax,Docetaxel,1
Bladder,CAL-29,Navitoclax,Docetaxel,1
Bladder,DSH1,Navitoclax,Docetaxel,1
Bladder,HT-1376,Navitoclax,Docetaxel,1
Bladder,J82,Navitoclax,Docetaxel,1
Bladder,KU-19-19,Navitoclax,Docetaxel,1
Bladder,LB831-BLC,Navitoclax,Docetaxel,1
Bladder,RT-112,Navitoclax,Docetaxel,1
Bladder,RT4,Navitoclax,Docetaxel,1
Bladder,SW1710,Navitoclax,Docetaxel,1
Bladder,SW780,Navitoclax,Docetaxel,1
Bladder,TCCSUP,Navitoclax,Docetaxel,1
Bladder,UM-UC-3,Navitoclax,Docetaxel,1
Bladder,VM-CUB-1,Navitoclax,Docetaxel,1
Bladder,5637,Trametinib,Navitoclax,1
Bladder,639-V,Trametinib,Navitoclax,1
Bladder,647-V,Trametinib,Navitoclax,1
Bladder,BFTC-905,Trametinib,Navitoclax,1
Bladder,CAL-29,Trametinib,Navitoclax,1
Bladder,DSH1,Trametinib,Navitoclax,1
Bladder,HT-1376,Trametinib,Navitoclax,1
Bladder,J82,Trametinib,Navitoclax,0
Bladder,KU-19-19,Trametinib,Navitoclax,1
Bladder,LB831-BLC,Trametinib,Navitoclax,0
Bladder,RT-112,Trametinib,Navitoclax,1
Bladder,RT4,Trametinib,Navitoclax,1
Bladder,SW1710,Trametinib,Navitoclax,0
Bladder,SW780,Trametinib,Navitoclax,1
Bladder,TCCSUP,Trametinib,Navitoclax,0
Bladder,UM-UC-3,Trametinib,Navitoclax,1
Bladder,VM-CUB-1,Trametinib,Navitoclax,1
Bladder,5637,Lapatinib,Navitoclax,0
Bladder,639-V,Lapatinib,Navitoclax,0
Bladder,647-V,Lapatinib,Navitoclax,1
Bladder,BFTC-905,Lapatinib,Navitoclax,1
Bladder,CAL-29,Lapatinib,Navitoclax,1
Bladder,DSH1,Lapatinib,Navitoclax,1
Bladder,HT-1376,Lapatinib,Navitoclax,1
Bladder,J82,Lapatinib,Navitoclax,0
Bladder,KU-19-19,Lapatinib,Navitoclax,0
Bladder,LB831-BLC,Lapatinib,Navitoclax,1
Bladder,RT-112,Lapatinib,Navitoclax,1
Bladder,RT4,Lapatinib,Navitoclax,1
Bladder,SW1710,Lapatinib,Navitoclax,0
Bladder,SW780,Lapatinib,Navitoclax,0
Bladder,TCCSUP,Lapatinib,Navitoclax,1
Bladder,UM-UC-3,Lapatinib,Navitoclax,1
Bladder,VM-CUB-1,Lapatinib,Navitoclax,1
Bladder,5637,Taselisib,Navitoclax,1
Bladder,639-V,Taselisib,Navitoclax,0
Bladder,647-V,Taselisib,Navitoclax,1
Bladder,BFTC-905,Taselisib,Navitoclax,1
Bladder,CAL-29,Taselisib,Navitoclax,1
Bladder,DSH1,Taselisib,Navitoclax,1
Bladder,HT-1376,Taselisib,Navitoclax,0
Bladder,J82,Taselisib,Navitoclax,0
Bladder,KU-19-19,Taselisib,Navitoclax,0
Bladder,LB831-BLC,Taselisib,Navitoclax,0
Bladder,RT-112,Taselisib,Navitoclax,1
Bladder,RT4,Taselisib,Navitoclax,0
Bladder,SW1710,Taselisib,Navitoclax,0
Bladder,SW780,Taselisib,Navitoclax,0
Bladder,TCCSUP,Taselisib,Navitoclax,1
Bladder,UM-UC-3,Taselisib,Navitoclax,0
Bladder,VM-CUB-1,Taselisib,Navitoclax,1
Bladder,5637,Trametinib,Olaparib,0
Bladder,639-V,Trametinib,Olaparib,0
Bladder,647-V,Trametinib,Olaparib,1
Bladder,BFTC-905,Trametinib,Olaparib,0
Bladder,CAL-29,Trametinib,Olaparib,1
Bladder,DSH1,Trametinib,Olaparib,1
Bladder,HT-1376,Trametinib,Olaparib,0
Bladder,J82,Trametinib,Olaparib,1
Bladder,KU-19-19,Trametinib,Olaparib,1
Bladder,LB831-BLC,Trametinib,Olaparib,1
Bladder,RT-112,Trametinib,Olaparib,0
Bladder,RT4,Trametinib,Olaparib,0
Bladder,SW1710,Trametinib,Olaparib,0
Bladder,SW780,Trametinib,Olaparib,1
Bladder,TCCSUP,Trametinib,Olaparib,0
Bladder,UM-UC-3,Trametinib,Olaparib,0
Bladder,VM-CUB-1,Trametinib,Olaparib,1
Bladder,5637,Taselisib,Olaparib,0
Bladder,639-V,Taselisib,Olaparib,0
Bladder,647-V,Taselisib,Olaparib,1
Bladder,BFTC-905,Taselisib,Olaparib,0
Bladder,CAL-29,Taselisib,Olaparib,1
Bladder,DSH1,Taselisib,Olaparib,1
Bladder,HT-1376,Taselisib,Olaparib,0
Bladder,J82,Taselisib,Olaparib,1
Bladder,KU-19-19,Taselisib,Olaparib,0
Bladder,LB831-BLC,Taselisib,Olaparib,1
Bladder,RT-112,Taselisib,Olaparib,1
Bladder,RT4,Taselisib,Olaparib,0
Bladder,SW1710,Taselisib,Olaparib,0
Bladder,SW780,Taselisib,Olaparib,1
Bladder,TCCSUP,Taselisib,Olaparib,1
Bladder,UM-UC-3,Taselisib,Olaparib,0
Bladder,VM-CUB-1,Taselisib,Olaparib,1
Bladder,5637,Navitoclax,Axitinib,1
Bladder,639-V,Navitoclax,Axitinib,1
Bladder,647-V,Navitoclax,Axitinib,1
Bladder,BFTC-905,Navitoclax,Axitinib,1
Bladder,CAL-29,Navitoclax,Axitinib,1
Bladder,DSH1,Navitoclax,Axitinib,1
Bladder,HT-1376,Navitoclax,Axitinib,1
Bladder,J82,Navitoclax,Axitinib,1
Bladder,KU-19-19,Navitoclax,Axitinib,1
Bladder,LB831-BLC,Navitoclax,Axitinib,1
Bladder,RT-112,Navitoclax,Axitinib,1
Bladder,RT4,Navitoclax,Axitinib,1
Bladder,SW1710,Navitoclax,Axitinib,1
Bladder,SW780,Navitoclax,Axitinib,1
Bladder,TCCSUP,Navitoclax,Axitinib,1
Bladder,UM-UC-3,Navitoclax,Axitinib,1
Bladder,VM-CUB-1,Navitoclax,Axitinib,1
Bladder,5637,Navitoclax,Afatinib,1
Bladder,639-V,Navitoclax,Afatinib,0
Bladder,647-V,Navitoclax,Afatinib,1
Bladder,BFTC-905,Navitoclax,Afatinib,1
Bladder,CAL-29,Navitoclax,Afatinib,1
Bladder,DSH1,Navitoclax,Afatinib,1
Bladder,HT-1376,Navitoclax,Afatinib,1
Bladder,J82,Navitoclax,Afatinib,1
Bladder,KU-19-19,Navitoclax,Afatinib,1
Bladder,LB831-BLC,Navitoclax,Afatinib,1
Bladder,RT-112,Navitoclax,Afatinib,1
Bladder,RT4,Navitoclax,Afatinib,1
Bladder,SW1710,Navitoclax,Afatinib,1
Bladder,SW780,Navitoclax,Afatinib,1
Bladder,TCCSUP,Navitoclax,Afatinib,1
Bladder,UM-UC-3,Navitoclax,Afatinib,1
Bladder,VM-CUB-1,Navitoclax,Afatinib,1
Bladder,5637,Trametinib,Afatinib,1
Bladder,639-V,Trametinib,Afatinib,1
Bladder,647-V,Trametinib,Afatinib,1
Bladder,BFTC-905,Trametinib,Afatinib,1
Bladder,CAL-29,Trametinib,Afatinib,1
Bladder,DSH1,Trametinib,Afatinib,0
Bladder,HT-1197,Trametinib,Afatinib,1
Bladder,HT-1376,Trametinib,Afatinib,1
Bladder,J82,Trametinib,Afatinib,0
Bladder,KU-19-19,Trametinib,Afatinib,1
Bladder,LB831-BLC,Trametinib,Afatinib,1
Bladder,RT-112,Trametinib,Afatinib,1
Bladder,RT4,Trametinib,Afatinib,1
Bladder,SW1710,Trametinib,Afatinib,0
Bladder,SW780,Trametinib,Afatinib,1
Bladder,TCCSUP,Trametinib,Afatinib,0
Bladder,UM-UC-3,Trametinib,Afatinib,1
Bladder,VM-CUB-1,Trametinib,Afatinib,1
Bladder,5637,Taselisib,Afatinib,1
Bladder,639-V,Taselisib,Afatinib,1
Bladder,647-V,Taselisib,Afatinib,1
Bladder,BFTC-905,Taselisib,Afatinib,1
Bladder,CAL-29,Taselisib,Afatinib,1
Bladder,DSH1,Taselisib,Afatinib,1
Bladder,HT-1197,Taselisib,Afatinib,1
Bladder,HT-1376,Taselisib,Afatinib,1
Bladder,J82,Taselisib,Afatinib,1
Bladder,KU-19-19,Taselisib,Afatinib,0
Bladder,LB831-BLC,Taselisib,Afatinib,1
Bladder,RT-112,Taselisib,Afatinib,1
Bladder,RT4,Taselisib,Afatinib,1
Bladder,SW1710,Taselisib,Afatinib,1
Bladder,SW780,Taselisib,Afatinib,0
Bladder,TCCSUP,Taselisib,Afatinib,1
Bladder,UM-UC-3,Taselisib,Afatinib,1
Bladder,VM-CUB-1,Taselisib,Afatinib,1
Bladder,5637,MK-1775,Nutlin-3a (-),1
Bladder,639-V,MK-1775,Nutlin-3a (-),1
Bladder,647-V,MK-1775,Nutlin-3a (-),1
Bladder,BFTC-905,MK-1775,Nutlin-3a (-),1
Bladder,CAL-29,MK-1775,Nutlin-3a (-),1
Bladder,DSH1,MK-1775,Nutlin-3a (-),1
Bladder,HT-1197,MK-1775,Nutlin-3a (-),0
Bladder,HT-1376,MK-1775,Nutlin-3a (-),1
Bladder,J82,MK-1775,Nutlin-3a (-),1
Bladder,KU-19-19,MK-1775,Nutlin-3a (-),0
Bladder,LB831-BLC,MK-1775,Nutlin-3a (-),1
Bladder,RT-112,MK-1775,Nutlin-3a (-),1
Bladder,RT4,MK-1775,Nutlin-3a (-),0
Bladder,SW1710,MK-1775,Nutlin-3a (-),1
Bladder,SW780,MK-1775,Nutlin-3a (-),0
Bladder,TCCSUP,MK-1775,Nutlin-3a (-),1
Bladder,UM-UC-3,MK-1775,Nutlin-3a (-),1
Bladder,VM-CUB-1,MK-1775,Nutlin-3a (-),1
Bladder,5637,Lapatinib,PD173074,1
Bladder,639-V,Lapatinib,PD173074,0
Bladder,647-V,Lapatinib,PD173074,1
