node_name,HGNC_symbol
AKT1,['AKT1']
APAF1,['APAF1']
APC,['APC']
AXIN1,['AXIN1']
Apoptosis,['Apoptosis']
BAD,['BAD']
BAK,['BAK1']
BAX,['BAX']
BCL2,['BCL2']
BCL2L1,['BCL2L1']
BCL2L11,['BCL2L11']
BCL2_rna,['BCL2_rna']
BID,['BID']
BIRC5,['BIRC5']
BIRC5_rna,['BIRC5_rna']
BRAF,['BRAF']
CASP3,['CASP3']
CASP9,['CASP9']
CCND1,['CCND1']
CDC25A,['CDC25A']
CDKN1A,"['CDKN1A', 'CDPF1']"
CDKN1B,['CDKN1B']
CDKN2A,['CDKN2A']
CREB1,['CREB1']
CTNNB1,['CTNNB1']
CYCS,['CYCS']
CyclinB_CDK1,"['CCNB1', 'CDK1']"
CyclinD_CDK4_6,"['CCND1', 'CDK4', 'CDK6']"
CyclinE_CDK2,"['CCNE1', 'CDK2']"
DIABLO,['DIABLO']
E2F,['E2F']
EGFR,['EGFR']
ERBB2,['ERBB2']
ERK_f,"['MAPK1', 'MAPK3']"
FGFR,['FGFR']
FOS,['FOS']
FOXO3,['FOXO3']
GSK3B,['GSK3B']
IGF1R,['IGF1R']
IRS2,['IRS2']
JUN,['JUN']
KRAS,['KRAS']
LEF1,['LEF1']
LRP5,['LRP5']
MAP2K4,['MAP2K4']
MAP3K1,['MAP3K1']
MAPK8,['MAPK8']
MDM2,['MDM2']
MEK_f,"['MAP2K1', 'MAP2K2']"
MET,['MET']
MYC,['MYC']
PIK3CA,['PIK3CA']
PORCN,['PORCN']
PTEN,['PTEN']
Proliferation,['Proliferation']
RB1,['RB1']
RPS6K_f,['RPS6K_f']
SMAD3,['SMAD3']
STAT3,['STAT3']
TP53,['TP53']
XIAP,['XIAP']
mTOR_c1,"['AKT1S1', 'DEPTOR', 'MLST8', 'RPTOR', 'MTOR']"
mTOR_c2,"['EEF1A1', 'DEPTOR', 'MLST8', 'PRR5', 'RICTOR', 'MTOR']"
