input_cell_line_name,input_identifier,detected_type,status,SIDM,matched_on,source,CVCL,RRID,ACH,all_aliases
697,SIDM01076,sidm,resolved,SIDM01076,sidm,sanger,,,,697; SIDM01076
5637,SIDM00807,sidm,resolved,SIDM00807,sidm,sanger,,,,5637; SIDM00807
22RV1,SIDM00499,sidm,resolved,SIDM00499,sidm,sanger,,,,22RV1; SIDM00499
23132-87,SIDM00980,sidm,resolved,SIDM00980,sidm,sanger,,,,2313287; SIDM00980
42-MG-BA,SIDM00982,sidm,resolved,SIDM00982,sidm,sanger,,,,42MGBA; SIDM00982
639-V,SIDM00999,sidm,resolved,SIDM00999,sidm,sanger,,,,639V; SIDM00999
647-V,SIDM00983,sidm,resolved,SIDM00983,sidm,sanger,,,,647V; SIDM00983
769-P,SIDM00803,sidm,resolved,SIDM00803,sidm,sanger,,,,769P; SIDM00803
786-0,SIDM00125,sidm,resolved,SIDM00125,sidm,sanger,,,,7860; SIDM00125
8305C,SIDM00997,sidm,resolved,SIDM00997,sidm,sanger,,,,8305C; SIDM00997
8505C,SIDM00996,sidm,resolved,SIDM00996,sidm,sanger,,,,8505C; SIDM00996
8-MG-BA,SIDM00998,sidm,resolved,SIDM00998,sidm,sanger,,,,8MGBA; SIDM00998
A101D,SIDM00801,sidm,resolved,SIDM00801,sidm,sanger,,,,A101D; SIDM00801
A172,SIDM00799,sidm,resolved,SIDM00799,sidm,sanger,,,,A172; SIDM00799
A204,SIDM00798,sidm,resolved,SIDM00798,sidm,sanger,,,,A204; SIDM00798
A2058,SIDM00797,sidm,resolved,SIDM00797,sidm,sanger,,,,A2058; SIDM00797
A253,SIDM00796,sidm,resolved,SIDM00796,sidm,sanger,,,,A253; SIDM00796
A2780,SIDM00210,sidm,resolved,SIDM00210,sidm,sanger,,,,A2780; SIDM00210
A375,SIDM00795,sidm,resolved,SIDM00795,sidm,sanger,,,,A375; SIDM00795
A3-KAW,SIDM00495,sidm,resolved,SIDM00495,sidm,sanger,,,,A3KAW; SIDM00495
A498,SIDM00124,sidm,resolved,SIDM00124,sidm,sanger,,,,A498; SIDM00124
A4-Fuk,SIDM00502,sidm,resolved,SIDM00502,sidm,sanger,,,,A4FUK; SIDM00502
A549,SIDM00903,sidm,resolved,SIDM00903,sidm,sanger,,,,A549; SIDM00903
A673,SIDM00848,sidm,resolved,SIDM00848,sidm,sanger,,,,A673; SIDM00848
A704,SIDM00849,sidm,resolved,SIDM00849,sidm,sanger,,,,A704; SIDM00849
ACHN,SIDM00123,sidm,resolved,SIDM00123,sidm,sanger,,,,ACHN; SIDM00123
AGS,SIDM00850,sidm,resolved,SIDM00850,sidm,sanger,,,,AGS; SIDM00850
ALL-PO,SIDM00211,sidm,resolved,SIDM00211,sidm,sanger,,,,ALLPO; SIDM00211
ALL-SIL,SIDM00994,sidm,resolved,SIDM00994,sidm,sanger,,,,ALLSIL; SIDM00994
AM-38,SIDM00492,sidm,resolved,SIDM00492,sidm,sanger,,,,AM38; SIDM00492
AMO-1,SIDM00993,sidm,resolved,SIDM00993,sidm,sanger,,,,AMO1; SIDM00993
AN3-CA,SIDM00901,sidm,resolved,SIDM00901,sidm,sanger,,,,AN3CA; SIDM00901
ARH-77,SIDM00900,sidm,resolved,SIDM00900,sidm,sanger,,,,ARH77; SIDM00900
ASH-3,SIDM00491,sidm,resolved,SIDM00491,sidm,sanger,,,,ASH3; SIDM00491
AsPC-1,SIDM00899,sidm,resolved,SIDM00899,sidm,sanger,,,,ASPC1; SIDM00899
ATN-1,SIDM00233,sidm,resolved,SIDM00233,sidm,sanger,,,,ATN1; SIDM00233
AU565,SIDM00898,sidm,resolved,SIDM00898,sidm,sanger,,,,AU565; SIDM00898
BALL-1,SIDM00287,sidm,resolved,SIDM00287,sidm,sanger,,,,BALL1; SIDM00287
BB49-HNC,SIDM00174,sidm,resolved,SIDM00174,sidm,sanger,,,,BB49HNC; SIDM00174
BC-1,SIDM00896,sidm,resolved,SIDM00896,sidm,sanger,,,,BC1; SIDM00896
B-CPAP,SIDM00992,sidm,resolved,SIDM00992,sidm,sanger,,,,BCPAP; SIDM00992
BE-13,SIDM01245,sidm,resolved,SIDM01245,sidm,sanger,,,,BE13; SIDM01245
BE2-M17,SIDM01229,sidm,resolved,SIDM01229,sidm,sanger,,,,BE2M17; SIDM01229
Becker,SIDM00490,sidm,resolved,SIDM00490,sidm,sanger,,,,BECKER; SIDM00490
BFTC-905,SIDM00989,sidm,resolved,SIDM00989,sidm,sanger,,,,BFTC905; SIDM00989
BFTC-909,SIDM00988,sidm,resolved,SIDM00988,sidm,sanger,,,,BFTC909; SIDM00988
BHT-101,SIDM00987,sidm,resolved,SIDM00987,sidm,sanger,,,,BHT101; SIDM00987
BICR10,SIDM00077,sidm,resolved,SIDM00077,sidm,sanger,,,,BICR10; SIDM00077
BICR22,SIDM00485,sidm,resolved,SIDM00485,sidm,sanger,,,,BICR22; SIDM00485
BICR78,SIDM00501,sidm,resolved,SIDM00501,sidm,sanger,,,,BICR78; SIDM00501
BL-41,SIDM00985,sidm,resolved,SIDM00985,sidm,sanger,,,,BL41; SIDM00985
BPH-1,SIDM00964,sidm,resolved,SIDM00964,sidm,sanger,,,,BPH1; SIDM00964
BT-20,SIDM00893,sidm,resolved,SIDM00893,sidm,sanger,,,,BT20; SIDM00893
BT-474,SIDM00963,sidm,resolved,SIDM00963,sidm,sanger,,,,BT474; SIDM00963
BT-483,SIDM00892,sidm,resolved,SIDM00892,sidm,sanger,,,,BT483; SIDM00892
BT-549,SIDM00122,sidm,resolved,SIDM00122,sidm,sanger,,,,BT549; SIDM00122
BV-173,SIDM00962,sidm,resolved,SIDM00962,sidm,sanger,,,,BV173; SIDM00962
BxPC-3,SIDM00132,sidm,resolved,SIDM00132,sidm,sanger,,,,BXPC3; SIDM00132
C2BBe1,SIDM01233,sidm,resolved,SIDM01233,sidm,sanger,,,,C2BBE1; SIDM01233
C32,SIDM00890,sidm,resolved,SIDM00890,sidm,sanger,,,,C32; SIDM00890
C-33-A,SIDM00889,sidm,resolved,SIDM00889,sidm,sanger,,,,C33A; SIDM00889
C3A,SIDM01237,sidm,resolved,SIDM01237,sidm,sanger,,,,C3A; SIDM01237
C-4-I,SIDM00905,sidm,resolved,SIDM00905,sidm,sanger,,,,C4I; SIDM00905
CA46,SIDM00907,sidm,resolved,SIDM00907,sidm,sanger,,,,CA46; SIDM00907
Ca9-22,SIDM00489,sidm,resolved,SIDM00489,sidm,sanger,,,,CA922; SIDM00489
CADO-ES1,SIDM00961,sidm,resolved,SIDM00961,sidm,sanger,,,,CADOES1; SIDM00961
CAL-120,SIDM00940,sidm,resolved,SIDM00940,sidm,sanger,,,,CAL120; SIDM00940
CAL-148,SIDM00938,sidm,resolved,SIDM00938,sidm,sanger,,,,CAL148; SIDM00938
CAL-27,SIDM00937,sidm,resolved,SIDM00937,sidm,sanger,,,,CAL27; SIDM00937
CAL-29,SIDM00936,sidm,resolved,SIDM00936,sidm,sanger,,,,CAL29; SIDM00936
CAL-33,SIDM00942,sidm,resolved,SIDM00942,sidm,sanger,,,,CAL33; SIDM00942
CAL-39,SIDM00935,sidm,resolved,SIDM00935,sidm,sanger,,,,CAL39; SIDM00935
CAL-51,SIDM00933,sidm,resolved,SIDM00933,sidm,sanger,,,,CAL51; SIDM00933
CAL-54,SIDM00932,sidm,resolved,SIDM00932,sidm,sanger,,,,CAL54; SIDM00932
CAL-62,SIDM00931,sidm,resolved,SIDM00931,sidm,sanger,,,,CAL62; SIDM00931
CAL-72,SIDM00930,sidm,resolved,SIDM00930,sidm,sanger,,,,CAL72; SIDM00930
