drug_name,ChEMBL_ID
Cisplatin,CHEMBL11359
Docetaxel,CHEMBL92
Navitoclax,CHEMBL443684
Nilotinib,CHEMBL255863
Olaparib,CHEMBL521686
Axitinib,CHEMBL1289926
AZD7762,CHEMBL2041933
Afatinib,CHEMBL1173655
Nutlin-3a (-),CHEMBL191334
PD173074,CHEMBL189584
MK-2206,CHEMBL1079175
Palbociclib,CHEMBL189963
Pictilisib,CHEMBL521851
5-Fluorouracil,CHEMBL185
Crizotinib,CHEMBL601719
Oxaliplatin,CHEMBL414804
MK-1775,CHEMBL1976040
Gemcitabine,CHEMBL888
Trametinib,CHEMBL2103875
Dabrafenib,CHEMBL2028663
Temozolomide,CHEMBL810
SN-38,CHEMBL837
Linsitinib,CHEMBL1091644
Sapitinib,CHEMBL2408045
Lapatinib,CHEMBL554
Taselisib,CHEMBL2387080
SCH772984,CHEMBL3590107
OSI-027,CHEMBL3120215
LGK974,CHEMBL3188386
