drug_name,ChEMBL_ID,ChEMBL_conc,targets,number_targets
Cisplatin,CHEMBL11359,CHEMBL11359,"DNA crosslinker, BCHE, CYP2B6, CYP2C9",4
Docetaxel,CHEMBL92,CHEMBL92_10000_nM,"GHRHR, KIF11, NOD2",3
Navitoclax,CHEMBL443684,CHEMBL443684_10000_nM,"BCL2, BCL-XL, BCL-W, BCL2, BCL2L1, BCL2L2",6
Nilotinib,CHEMBL255863,CHEMBL255863_10000_nM,"ABL, ABL1",2
Olaparib,CHEMBL521686,CHEMBL521686_10000_nM,"PARP1, PARP2, PARP1, PARP2",4
Axitinib,CHEMBL1289926,CHEMBL1289926_10000_nM,"PDGFR, KIT, VEGFR, FLT1, KIT, PDGFRA, PDGFRB",7
AZD7762,CHEMBL2041933,CHEMBL2041933_10000_nM,"CHEK1, CHEK2, CHEK1, CHEK2",4
Afatinib,CHEMBL1173655,CHEMBL1173655_10000_nM,"EGFR, ERBB2, EGFR, ERBB2",4
Nutlin-3a (-),CHEMBL191334,CHEMBL191334,"MDM2, MDM2",2
PD173074,CHEMBL189584,CHEMBL189584,"FGFR1, FGFR2, FGFR3, FGFR1, FGFR2, FGFR3",6
MK-2206,CHEMBL1079175,CHEMBL1079175_10000_nM,"AKT1, AKT2, AKT1, AKT2",4
Palbociclib,CHEMBL189963,CHEMBL189963_10000_nM,"CDK4, CDK6, CDK4, CDK6",4
Pictilisib,CHEMBL521851,CHEMBL521851_10000_nM,"PI3K (class 1), PIK3CA, PIK3CB, PIK3CD, PIK3CG",5
5-Fluorouracil,CHEMBL185,CHEMBL185,,
Crizotinib,CHEMBL601719,CHEMBL601719_10000_nM,"MET, ALK, ROS1, ALK, MET, ROS1",6
Oxaliplatin,CHEMBL414804,CHEMBL414804,,
MK-1775,CHEMBL1976040,CHEMBL1976040_10000_nM,"WEE1, PLK1, WEE1, PLK1",4
Gemcitabine,CHEMBL888,CHEMBL888,,
Trametinib,CHEMBL2103875,CHEMBL2103875_10000_nM,"MEK1, MEK2, MAP2K1, MAP2K2",4
Dabrafenib,CHEMBL2028663,CHEMBL2028663_10000_nM,"BRAF, BRAF",2
Temozolomide,CHEMBL810,CHEMBL810,,
SN-38,CHEMBL837,CHEMBL837_10000_nM,"TOP1, TOP1",2
Linsitinib,CHEMBL1091644,CHEMBL1091644_10000_nM,"IGF1R, IGF1R, INSR",3
Sapitinib,CHEMBL2408045,CHEMBL2408045_10000_nM,"EGFR, ERBB2, ERBB3, EGFR, ERBB2, ERBB3",6
Lapatinib,CHEMBL554,CHEMBL554_10000_nM,"EGFR, ERBB2, EGFR, ERBB2",4
Taselisib,CHEMBL2387080,CHEMBL2387080_10000_nM,"PI3K (beta sparing), PIK3CA, PIK3CD, PIK3CG",4
SCH772984,CHEMBL3590107,CHEMBL3590107,"ERK1, ERK2, MAPK1, MAPK3",4
OSI-027,CHEMBL3120215,CHEMBL3120215,"MTORC1, MTORC2, MTOR",3
LGK974,CHEMBL3188386,CHEMBL3188386_10000_nM,"PORCN, PORCN",2
