drug_name,targets,ChEMBL_conc,node_targets
Navitoclax,"BCL2, BCL2L1, BCL2L2",CHEMBL443684_10000_nM,"['BCL2L1', 'BCL2']"
Nilotinib,"ABL1, CACNA1C, CSF1R, CYP3A4, DDR1, DDR2, FLT3, KCNH2, KIT, LCK, LYN, NQO2, PDGFRA, PDGFRB, RAF1, SRC",CHEMBL255863_10000_nM,No matching targets
Olaparib,"PARP1, PARP10, PARP16, PARP2, PARP3, PARP4, PARP6, TNKS, TNKS2",CHEMBL521686_10000_nM,No matching targets
Axitinib,"ABL1, FLT1, FLT4, KDR, PLK4, TBK1",CHEMBL1289926_10000_nM,No matching targets
AZD7762,"CHEK1, CHEK2",CHEMBL2041933_10000_nM,No matching targets
Afatinib,"EGFR, ERBB2, ERBB4",CHEMBL1173655_10000_nM,"['ERBB2', 'EGFR']"
MK-2206,"AKT1, AKT2, AKT3",CHEMBL1079175_10000_nM,['AKT1']
Palbociclib,"CCND1, CCND2, CCNK, CCNT1, CDK1, CDK2, CDK4, CDK6, CDK9, FLT3, JAK3",CHEMBL189963_10000_nM,"['CyclinE_CDK2', 'CyclinD_CDK4_6', 'CCND1', 'CyclinB_CDK1']"
Pictilisib,"ABCC4, MTOR, PIK3C2A, PIK3C2B, PIK3C3, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1",CHEMBL521851_10000_nM,"['mTOR_c2', 'mTOR_c1', 'PIK3CA']"
Crizotinib,"ABL1, ALK, AXL, EGFR, IGF1R, INPPL1, INSR, JAK1, JAK2, JAK3, LCK, MET, MST1R, NTRK1, NTRK2, ROS1, TEK, TYK2",CHEMBL601719_10000_nM,"['MET', 'EGFR', 'IGF1R']"
MK-1775,"PKMYT1, PLK1, WEE1, WNK3",CHEMBL1976040_10000_nM,No matching targets
Trametinib,"MAP2K1, MAP2K2",CHEMBL2103875_10000_nM,['MEK_f']
Dabrafenib,"ARAF, BRAF, HSF1, RAF1, RIPK2, RIPK3, TGFBR1",CHEMBL2028663_10000_nM,['BRAF']
SN-38,"ABCG2, TOP1",CHEMBL837_10000_nM,No matching targets
Linsitinib,"IGF1R, INSR",CHEMBL1091644_10000_nM,['IGF1R']
Sapitinib,"EGFR, ERBB2, ERBB3",CHEMBL2408045_10000_nM,"['ERBB2', 'EGFR']"
Lapatinib,"ABCB11, EGFR, ERBB2, ERBB4, KCNH2, PDGFRB",CHEMBL554_10000_nM,"['ERBB2', 'EGFR']"
Taselisib,"PIK3C2B, PIK3C3, PIK3CA, PIK3CD",CHEMBL2387080_10000_nM,['PIK3CA']
LGK974,"PORCN, WNT3A",CHEMBL3188386_10000_nM,['PORCN']
