drug_name,targets,ChEMBL_conc,node_targets,PD_profile
Navitoclax,"BCL2, BCL2L1, BCL2L2",CHEMBL443684_10000_nM,"['BCL2L1', 'BCL2']",PD_01
Afatinib,"EGFR, ERBB2, ERBB4",CHEMBL1173655_10000_nM,"['ERBB2', 'EGFR']",PD_02
MK-2206,"AKT1, AKT2, AKT3",CHEMBL1079175_10000_nM,['AKT1'],PD_03
Palbociclib,"CCND1, CCND2, CCNK, CCNT1, CDK1, CDK2, CDK4, CDK6, CDK9, FLT3, JAK3",CHEMBL189963_10000_nM,"['CyclinE_CDK2', 'CyclinD_CDK4_6', 'CCND1', 'CyclinB_CDK1']",PD_04
Pictilisib,"ABCC4, MTOR, PIK3C2A, PIK3C2B, PIK3C3, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PIK3R1",CHEMBL521851_10000_nM,"['mTOR_c2', 'mTOR_c1', 'PIK3CA']",PD_05
Crizotinib,"ABL1, ALK, AXL, EGFR, IGF1R, INPPL1, INSR, JAK1, JAK2, JAK3, LCK, MET, MST1R, NTRK1, NTRK2, ROS1, TEK, TYK2",CHEMBL601719_10000_nM,"['MET', 'EGFR', 'IGF1R']",PD_06
Trametinib,"MAP2K1, MAP2K2",CHEMBL2103875_10000_nM,['MEK_f'],PD_07
Dabrafenib,"ARAF, BRAF, HSF1, RAF1, RIPK2, RIPK3, TGFBR1",CHEMBL2028663_10000_nM,['BRAF'],PD_08
Linsitinib,"IGF1R, INSR",CHEMBL1091644_10000_nM,['IGF1R'],PD_09
Sapitinib,"EGFR, ERBB2, ERBB3",CHEMBL2408045_10000_nM,"['ERBB2', 'EGFR']",PD_02
Lapatinib,"ABCB11, EGFR, ERBB2, ERBB4, KCNH2, PDGFRB",CHEMBL554_10000_nM,"['ERBB2', 'EGFR']",PD_02
Taselisib,"PIK3C2B, PIK3C3, PIK3CA, PIK3CD",CHEMBL2387080_10000_nM,['PIK3CA'],PD_10
LGK974,"PORCN, WNT3A",CHEMBL3188386_10000_nM,['PORCN'],PD_11
