tissue,cell_line,drug_name_A,drug_name_B,synergy,PD_A,PD_B
Bladder,5637,Trametinib,Navitoclax,1,PD_10,PD_01
Bladder,639V,Trametinib,Navitoclax,1,PD_10,PD_01
Bladder,647V,Trametinib,Navitoclax,1,PD_10,PD_01
Bladder,BFTC905,Trametinib,Navitoclax,1,PD_10,PD_01
Bladder,CAL29,Trametinib,Navitoclax,1,PD_10,PD_01
Bladder,DSH1,Trametinib,Navitoclax,1,PD_10,PD_01
Bladder,HT1376,Trametinib,Navitoclax,1,PD_10,PD_01
Bladder,J82,Trametinib,Navitoclax,0,PD_10,PD_01
Bladder,KU1919,Trametinib,Navitoclax,1,PD_10,PD_01
Bladder,LB831BLC,Trametinib,Navitoclax,0,PD_10,PD_01
Bladder,RT112,Trametinib,Navitoclax,1,PD_10,PD_01
Bladder,RT4,Trametinib,Navitoclax,1,PD_10,PD_01
Bladder,SW1710,Trametinib,Navitoclax,0,PD_10,PD_01
Bladder,SW780,Trametinib,Navitoclax,1,PD_10,PD_01
Bladder,TCCSUP,Trametinib,Navitoclax,0,PD_10,PD_01
Bladder,UMUC3,Trametinib,Navitoclax,1,PD_10,PD_01
Bladder,VMCUB1,Trametinib,Navitoclax,1,PD_10,PD_01
Bladder,5637,Lapatinib,Navitoclax,0,PD_03,PD_01
Bladder,639V,Lapatinib,Navitoclax,0,PD_03,PD_01
Bladder,647V,Lapatinib,Navitoclax,1,PD_03,PD_01
Bladder,BFTC905,Lapatinib,Navitoclax,1,PD_03,PD_01
Bladder,CAL29,Lapatinib,Navitoclax,1,PD_03,PD_01
Bladder,DSH1,Lapatinib,Navitoclax,1,PD_03,PD_01
Bladder,HT1376,Lapatinib,Navitoclax,1,PD_03,PD_01
Bladder,J82,Lapatinib,Navitoclax,0,PD_03,PD_01
Bladder,KU1919,Lapatinib,Navitoclax,0,PD_03,PD_01
Bladder,LB831BLC,Lapatinib,Navitoclax,1,PD_03,PD_01
Bladder,RT112,Lapatinib,Navitoclax,1,PD_03,PD_01
Bladder,RT4,Lapatinib,Navitoclax,1,PD_03,PD_01
Bladder,SW1710,Lapatinib,Navitoclax,0,PD_03,PD_01
Bladder,SW780,Lapatinib,Navitoclax,0,PD_03,PD_01
Bladder,TCCSUP,Lapatinib,Navitoclax,1,PD_03,PD_01
Bladder,UMUC3,Lapatinib,Navitoclax,1,PD_03,PD_01
Bladder,VMCUB1,Lapatinib,Navitoclax,1,PD_03,PD_01
Bladder,5637,Taselisib,Navitoclax,1,PD_08,PD_01
Bladder,639V,Taselisib,Navitoclax,0,PD_08,PD_01
Bladder,647V,Taselisib,Navitoclax,1,PD_08,PD_01
Bladder,BFTC905,Taselisib,Navitoclax,1,PD_08,PD_01
Bladder,CAL29,Taselisib,Navitoclax,1,PD_08,PD_01
Bladder,DSH1,Taselisib,Navitoclax,1,PD_08,PD_01
Bladder,HT1376,Taselisib,Navitoclax,0,PD_08,PD_01
Bladder,J82,Taselisib,Navitoclax,0,PD_08,PD_01
Bladder,KU1919,Taselisib,Navitoclax,0,PD_08,PD_01
Bladder,LB831BLC,Taselisib,Navitoclax,0,PD_08,PD_01
Bladder,RT112,Taselisib,Navitoclax,1,PD_08,PD_01
Bladder,RT4,Taselisib,Navitoclax,0,PD_08,PD_01
Bladder,SW1710,Taselisib,Navitoclax,0,PD_08,PD_01
Bladder,SW780,Taselisib,Navitoclax,0,PD_08,PD_01
Bladder,TCCSUP,Taselisib,Navitoclax,1,PD_08,PD_01
Bladder,UMUC3,Taselisib,Navitoclax,0,PD_08,PD_01
Bladder,VMCUB1,Taselisib,Navitoclax,1,PD_08,PD_01
Bladder,5637,Navitoclax,Axitinib,1,PD_01,PD_02
Bladder,639V,Navitoclax,Axitinib,1,PD_01,PD_02
Bladder,647V,Navitoclax,Axitinib,1,PD_01,PD_02
Bladder,BFTC905,Navitoclax,Axitinib,1,PD_01,PD_02
Bladder,CAL29,Navitoclax,Axitinib,1,PD_01,PD_02
Bladder,DSH1,Navitoclax,Axitinib,1,PD_01,PD_02
Bladder,HT1376,Navitoclax,Axitinib,1,PD_01,PD_02
Bladder,J82,Navitoclax,Axitinib,1,PD_01,PD_02
Bladder,KU1919,Navitoclax,Axitinib,1,PD_01,PD_02
Bladder,LB831BLC,Navitoclax,Axitinib,1,PD_01,PD_02
Bladder,RT112,Navitoclax,Axitinib,1,PD_01,PD_02
Bladder,RT4,Navitoclax,Axitinib,1,PD_01,PD_02
Bladder,SW1710,Navitoclax,Axitinib,1,PD_01,PD_02
Bladder,SW780,Navitoclax,Axitinib,1,PD_01,PD_02
Bladder,TCCSUP,Navitoclax,Axitinib,1,PD_01,PD_02
Bladder,UMUC3,Navitoclax,Axitinib,1,PD_01,PD_02
Bladder,VMCUB1,Navitoclax,Axitinib,1,PD_01,PD_02
Bladder,5637,Navitoclax,Afatinib,1,PD_01,PD_03
Bladder,639V,Navitoclax,Afatinib,0,PD_01,PD_03
Bladder,647V,Navitoclax,Afatinib,1,PD_01,PD_03
Bladder,BFTC905,Navitoclax,Afatinib,1,PD_01,PD_03
Bladder,CAL29,Navitoclax,Afatinib,1,PD_01,PD_03
Bladder,DSH1,Navitoclax,Afatinib,1,PD_01,PD_03
