cell_line,tissue,True Positive,True Negative,False Positive,False Negative,Total,Match,Mismatch,Match %,Mismatch %,Accuracy,Recall,Precision,balanced_accuracy,failure_reason,roc_auc,pr_auc,f1_score,n_positive,n_negative,pred_min,valid_matched_rows,missing_predictions,invalid_experimental_values,invalid_predictions
SW13,adrenal,18.0,2.0,5.0,0.0,25.0,20.0,5.0,80.0,20.0,80.0,100.0,78.26,0.6111111111111112,success,0.7844444444444445,0.8987677456916385,0.8771929824561403,25.0,9.0,-0.4037357817319463,34,0,0,0
EGI1,biliary,15.0,5.0,0.0,5.0,25.0,20.0,5.0,80.0,20.0,80.0,75.0,100.0,0.4827586206896552,success,0.9379310344827586,0.9906186612576064,0.9032258064516128,29.0,5.0,-0.4994108128033015,34,0,0,0
ETK1,biliary,14.0,4.0,2.0,5.0,25.0,18.0,7.0,72.0,28.000000000000004,72.0,73.68,87.5,0.48,success,0.7466666666666667,0.8874194733142102,0.8275862068965517,25.0,9.0,-0.5003606278669349,34,0,0,0
HUCCT1,biliary,13.0,3.0,4.0,5.0,25.0,16.0,9.0,64.0,36.0,64.0,72.22,76.47,0.55,success,0.5214285714285715,0.7329761605739689,0.8235294117647058,21.0,10.0,-0.5467360155282758,31,0,0,0
TGBC1TKB,biliary,8.0,1.0,1.0,4.0,14.0,9.0,5.0,64.28571428571429,35.714285714285715,64.29,66.67,88.89,0.4666666666666667,success,0.3888888888888889,0.8009773559773559,0.875,15.0,3.0,-0.4402823079537144,18,16,0,11
TGBC24TKB,biliary,17.0,3.0,0.0,5.0,25.0,20.0,5.0,80.0,20.0,80.0,77.27,100.0,0.4821428571428571,success,0.6517857142857143,0.8920835534830361,0.8852459016393442,28.0,6.0,-0.5080823613010655,34,0,0,0
5637,bladder,13.0,4.0,5.0,3.0,25.0,17.0,8.0,68.0,32.0,68.0,81.25,72.22,0.4782608695652174,success,0.7944664031620553,0.9127208401556284,0.7857142857142857,23.0,11.0,-0.5428507657859891,34,0,0,0
639V,bladder,4.0,5.0,5.0,0.0,14.0,9.0,5.0,64.28571428571429,35.714285714285715,64.29,100.0,44.44,0.5416666666666666,success,0.6875,0.4890572390572391,0.5217391304347826,6.0,12.0,-0.4959343839149658,18,16,0,11
647V,bladder,8.0,5.0,0.0,1.0,14.0,13.0,1.0,92.85714285714286,7.142857142857142,92.86,88.89,100.0,0.5,success,1.0,1.0,0.8387096774193549,13.0,5.0,-0.5592606042816772,18,16,0,11
BFTC905,bladder,23.0,0.0,0.0,2.0,25.0,23.0,2.0,92.0,8.0,92.0,92.0,100.0,,single_class,,,,,,,34,0,0,0
CAL29,bladder,15.0,4.0,0.0,6.0,25.0,19.0,6.0,76.0,24.0,76.0,71.43,100.0,0.625,success,0.9666666666666668,0.995766129032258,0.9523809523809524,30.0,4.0,-0.5339329575289975,34,0,0,0
DSH1,bladder,13.0,4.0,5.0,3.0,25.0,17.0,8.0,68.0,32.0,68.0,81.25,72.22,0.5454545454545454,success,0.7707509881422925,0.857648049330308,0.8214285714285714,23.0,11.0,-0.5428507657859891,34,0,0,0
HT1197,bladder,8.0,7.0,1.0,1.0,17.0,15.0,2.0,88.23529411764706,11.76470588235294,88.24,88.89,88.89,0.45,success,0.78,0.7958730158730158,0.6206896551724138,10.0,10.0,-0.4409322538057389,20,0,0,0
HT1376,bladder,7.0,6.0,7.0,5.0,25.0,13.0,12.0,52.0,48.0,52.0,58.33,50.0,0.5,success,0.4722222222222222,0.5160411302475139,0.6923076923076923,18.0,16.0,-0.4807934056018341,34,0,0,0
J82,bladder,14.0,3.0,4.0,4.0,25.0,17.0,8.0,68.0,32.0,68.0,77.78,77.78,0.4782608695652174,success,0.7154150197628458,0.8791719080700036,0.7857142857142857,23.0,11.0,-0.4563317072917438,34,0,0,0
KU1919,bladder,15.0,0.0,8.0,2.0,25.0,15.0,10.0,60.0,40.0,60.0,88.24,65.22,0.4523809523809524,success,0.4633699633699634,0.6815944493823249,0.7169811320754716,21.0,13.0,-0.3942096564973912,34,0,0,0
LB831BLC,bladder,14.0,6.0,2.0,3.0,25.0,20.0,5.0,80.0,20.0,80.0,82.35,87.5,0.5,success,0.63003663003663,0.6997961637864705,0.7636363636363637,21.0,13.0,-0.5116160680441351,34,0,0,0
RT112,bladder,15.0,4.0,2.0,4.0,25.0,19.0,6.0,76.0,24.0,76.0,78.95,88.24,0.5833333333333334,success,0.9107142857142858,0.9817301925714051,0.918032786885246,28.0,6.0,-0.5080823613010655,34,0,0,0
RT4,bladder,13.0,2.0,3.0,7.0,25.0,15.0,10.0,60.0,40.0,60.0,65.0,81.25,0.5714285714285714,success,0.5317460317460317,0.8462677335171613,0.9,27.0,7.0,-0.4459617914833336,34,0,0,0
