cell_line,tissue,True Positive,True Negative,False Positive,False Negative,Total,Match,Mismatch,Match %,Mismatch %,Accuracy,Recall,Precision,balanced_accuracy,failure_reason,roc_auc,pr_auc,f1_score,n_positive,n_negative,pred_min,valid_matched_rows,missing_predictions,invalid_experimental_values,invalid_predictions
TGBC1TKB,biliary,8.0,1.0,1.0,4.0,14.0,9.0,5.0,64.28571428571429,35.714285714285715,64.29,66.67,88.89,0.4666666666666667,success,0.3888888888888889,0.8009773559773559,0.875,15.0,3.0,-0.4402823079537144,18,16,0,11
HT1376,bladder,7.0,6.0,7.0,5.0,25.0,13.0,12.0,52.0,48.0,52.0,58.33,50.0,0.5,success,0.4722222222222222,0.5160411302475139,0.6923076923076923,18.0,16.0,-0.4807934056018341,34,0,0,0
KU1919,bladder,15.0,0.0,8.0,2.0,25.0,15.0,10.0,60.0,40.0,60.0,88.24,65.22,0.4523809523809524,success,0.4633699633699634,0.6815944493823249,0.7169811320754716,21.0,13.0,-0.3942096564973912,34,0,0,0
UMUC3,bladder,19.0,1.0,0.0,5.0,25.0,20.0,5.0,80.0,20.0,80.0,79.17,100.0,0.4838709677419355,success,0.4838709677419355,0.9139686315877954,0.9375,31.0,3.0,-0.5024492993852825,34,0,0,0
EW13,bone,6.0,0.0,2.0,2.0,10.0,6.0,4.0,60.0,40.0,60.0,75.0,75.0,0.45,success,0.475,0.7127805527805529,0.782608695652174,10.0,4.0,-0.4402823079537144,14,14,0,9
SKES1,bone,13.0,2.0,3.0,7.0,25.0,15.0,10.0,60.0,40.0,60.0,65.0,81.25,0.4782608695652174,success,0.4743083003952569,0.6747944464425756,0.7857142857142857,23.0,11.0,-0.5003606278669349,34,0,0,0
BT549,breast,5.0,3.0,4.0,2.0,14.0,8.0,6.0,57.14285714285714,42.85714285714285,57.14,71.43,55.56,0.4285714285714285,success,0.3311688311688311,0.3335886335886336,0.5,7.0,11.0,-0.4734534294680506,18,16,0,11
MDAMB453,breast,14.0,2.0,9.0,0.0,25.0,16.0,9.0,64.0,36.0,64.0,100.0,60.87,0.5555555555555556,success,0.3819444444444444,0.413247947755455,0.6666666666666666,16.0,18.0,-0.4487002651575547,34,0,0,0
UACC893,breast,6.0,2.0,9.0,0.0,17.0,8.0,9.0,47.05882352941176,52.94117647058824,47.06,100.0,40.0,0.5714285714285714,success,0.4523809523809524,0.2926767676767676,0.5,6.0,14.0,-0.4487002651575547,20,0,0,0
MS751,cervix,1.0,4.0,8.0,1.0,14.0,5.0,9.0,35.714285714285715,64.28571428571429,35.71,50.0,11.11,0.5333333333333333,success,0.4444444444444444,0.2254901960784313,0.3,3.0,15.0,-0.5535657950404682,18,16,0,11
KALS1,cns,6.0,1.0,3.0,4.0,14.0,7.0,7.0,50.0,50.0,50.0,60.0,66.67,0.4615384615384615,success,0.3307692307692308,0.6860315463822251,0.8,13.0,5.0,-0.5025320984962852,18,16,0,11
LNZTA3WT4,cns,7.0,1.0,1.0,1.0,10.0,8.0,2.0,80.0,20.0,80.0,87.5,87.5,0.45,success,0.4875,0.7668831168831168,0.782608695652174,10.0,4.0,-0.4413184592891929,14,14,0,9
MOGGUVW,cns,9.0,0.0,0.0,5.0,14.0,9.0,5.0,64.28571428571429,35.714285714285715,64.29,64.29,100.0,0.4705882352941176,success,0.2058823529411764,0.9201735932272264,0.9411764705882352,17.0,1.0,-0.4402823079537144,18,16,0,11
ONS76,cns,6.0,0.0,3.0,5.0,14.0,6.0,8.0,42.85714285714285,57.14285714285714,42.86,54.55,66.67,0.4642857142857143,success,0.2410714285714285,0.7103320115925158,0.8387096774193549,14.0,4.0,-0.4482387550996228,18,16,0,11
SKPNDW,cns,8.0,2.0,1.0,3.0,14.0,10.0,4.0,71.42857142857143,28.57142857142857,71.43,72.73,88.89,0.4545454545454545,success,0.4545454545454545,0.5971974994702267,0.7142857142857143,11.0,7.0,-0.4402823079537144,18,16,0,11
GP5D,colon,11.0,2.0,3.0,9.0,25.0,13.0,12.0,52.0,48.0,52.0,55.0,78.57,0.5625,success,0.4519230769230769,0.7838278889759438,0.8813559322033898,26.0,8.0,-0.516303912782518,34,0,0,0
KM12,colon,6.0,2.0,3.0,3.0,14.0,8.0,6.0,57.14285714285714,42.85714285714285,57.14,66.67,66.67,0.4583333333333333,success,0.375,0.665489024864025,0.7586206896551724,12.0,6.0,-0.4413184592891929,18,16,0,11
KLE,endometrium,9.0,5.0,8.0,3.0,25.0,14.0,11.0,56.00000000000001,44.0,56.0,75.0,52.94,0.5238095238095238,success,0.4157509157509157,0.3439085762856304,0.5652173913043478,13.0,21.0,-0.5467360155282758,34,0,0,0
RL952,endometrium,4.0,2.0,5.0,3.0,14.0,6.0,8.0,42.85714285714285,57.14285714285714,42.86,57.14,44.44,0.4444444444444444,success,0.4506172839506173,0.5459034792368126,0.6153846153846154,9.0,9.0,-0.4402823079537144,18,16,0,11
KYSE150,esophagus,8.0,1.0,0.0,5.0,14.0,9.0,5.0,64.28571428571429,35.714285714285715,64.29,61.54,100.0,0.5,success,0.4888888888888889,0.8377173044820103,0.9090909090909092,15.0,3.0,-0.5172269990775398,18,16,0,11
KYSE450,esophagus,8.0,2.0,1.0,3.0,14.0,10.0,4.0,71.42857142857143,28.57142857142857,71.43,72.73,88.89,0.4615384615384615,success,0.4846153846153846,0.7375461642429968,0.8,13.0,5.0,-0.5020514182228908,18,16,0,11
JHU022,head,9.0,4.0,7.0,5.0,25.0,13.0,12.0,52.0,48.0,52.0,64.29,56.25,0.5,success,0.3840830449826989,0.4422340194190997,0.6666666666666666,17.0,17.0,-0.5116160680441351,34,0,0,0
HLE,liver,11.0,3.0,5.0,6.0,25.0,14.0,11.0,56.00000000000001,44.0,56.0,64.71,68.75,0.5384615384615384,success,0.4249084249084249,0.6004867684360174,0.7777777777777778,21.0,13.0,-0.5003606278669349,34,0,0,0
KNS62,lung,6.0,2.0,3.0,3.0,14.0,8.0,6.0,57.14285714285714,42.85714285714285,57.14,66.67,66.67,0.4583333333333333,success,0.4722222222222222,0.6849025974025974,0.7586206896551724,12.0,6.0,-0.5397830878869314,18,16,0,11
