tissue,analysis_mode,status,runtime_seconds,config,synergies,return_code,error
adrenal,cell_line,success,4.9,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_adrenal_cell_line.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_adrenal.csv,0,
adrenal,inhibitor_combination,success,3.94,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_adrenal_inhibitor_combination.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_adrenal.csv,0,
biliary,cell_line,success,3.31,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_biliary_cell_line.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_biliary.csv,0,
biliary,inhibitor_combination,success,4.8,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_biliary_inhibitor_combination.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_biliary.csv,0,
bladder,cell_line,success,5.09,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_bladder_cell_line.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_bladder.csv,0,
bladder,inhibitor_combination,success,4.68,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_bladder_inhibitor_combination.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_bladder.csv,0,
bone,cell_line,success,6.43,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_bone_cell_line.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_bone.csv,0,
bone,inhibitor_combination,success,6.53,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_bone_inhibitor_combination.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_bone.csv,0,
breast,cell_line,success,7.1,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_breast_cell_line.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_breast.csv,0,
breast,inhibitor_combination,success,7.21,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_breast_inhibitor_combination.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_breast.csv,0,
cervix,cell_line,success,3.5,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_cervix_cell_line.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_cervix.csv,0,
cervix,inhibitor_combination,success,5.02,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_cervix_inhibitor_combination.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_cervix.csv,0,
cns,cell_line,success,7.01,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_cns_cell_line.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_cns.csv,0,
cns,inhibitor_combination,success,6.85,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_cns_inhibitor_combination.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_cns.csv,0,
colon,cell_line,success,6.99,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_colon_cell_line.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_colon.csv,0,
colon,inhibitor_combination,success,6.74,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\output\_synco_config_colon_inhibitor_combination.json,C:\Users\viviamsb\OneDrive - NTNU\PhD Folder\Pipeline\trafikk_paper\results\Sanger-2024\05_synco\input\_synergies_colon.csv,0,
