inhibitor_combination,cell_line,tissue,pd_combination,perturbation,exp_synergy,pred_synergy,exp_binary,pred_binary,confusion_matrix_value,classification
AKTi + ErrBi,A549,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.0877407744786581,True,True,True Positive,True Positive
AKTi + ErrBi,CALU3,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.0750543550467309,True,True,True Positive,True Positive
AKTi + ErrBi,CALU6,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.0198817547460443,True,True,True Positive,True Positive
AKTi + ErrBi,COLO668,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.0221092362260845,True,True,True Positive,True Positive
AKTi + ErrBi,CORL105,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.0265502945397609,True,True,True Positive,True Positive
AKTi + ErrBi,CORL23,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.0226533255101892,True,True,True Positive,True Positive
AKTi + ErrBi,CORL311,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.026470694788737,True,True,True Positive,True Positive
AKTi + ErrBi,CORL32,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.1349436018169819,True,True,True Positive,True Positive
AKTi + ErrBi,CPCN,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.026470694788737,True,True,True Positive,True Positive
AKTi + ErrBi,DMS114,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.0114031536112867,True,True,True Positive,True Positive
AKTi + ErrBi,DMS53,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.0221092362260845,True,True,True Positive,True Positive
AKTi + ErrBi,EBC1,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.0221092362260845,True,True,True Positive,True Positive
AKTi + ErrBi,EMCBAC2,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.1480767283121964,True,True,True Positive,True Positive
AKTi + ErrBi,EPLC272H,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.0114031536112867,True,True,True Positive,True Positive
AKTi + ErrBi,HARA,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.0259116130487612,True,True,True Positive,True Positive
AKTi + ErrBi,HCC15,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.0230456074628461,True,True,True Positive,True Positive
AKTi + ErrBi,HCC44,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.0203041843100414,True,True,True Positive,True Positive
AKTi + ErrBi,HCC78,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.0221092362260845,True,True,True Positive,True Positive
AKTi + ErrBi,HOP62,Lung,PD_03-PD_06,PD_03_PD_06,0.0,0.1043226758332463,False,True,False Positive,False Positive
AKTi + ErrBi,HOP92,Lung,PD_03-PD_06,PD_03_PD_06,0.0,0.026470694788737,False,True,False Positive,False Positive
AKTi + ErrBi,IALM,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.0205412905888728,True,True,True Positive,True Positive
AKTi + ErrBi,ISTMES1,Lung,PD_03-PD_06,PD_03_PD_06,0.0,0.1886475575897667,False,True,False Positive,False Positive
AKTi + ErrBi,ISTSL2,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.1504453759126517,True,True,True Positive,True Positive
AKTi + ErrBi,LC1SQ,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.1188401860902221,True,True,True Positive,True Positive
AKTi + ErrBi,LCLC97TM1,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.0226533255101892,True,True,True Positive,True Positive
AKTi + ErrBi,LU135,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.026470694788737,True,True,True Positive,True Positive
AKTi + ErrBi,LU139,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.026470694788737,True,True,True Positive,True Positive
AKTi + ErrBi,LU99A,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.0364837825563788,True,True,True Positive,True Positive
AKTi + ErrBi,LXF289,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.026470694788737,True,True,True Positive,True Positive
AKTi + ErrBi,MSTO211H,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.0246997693200661,True,True,True Positive,True Positive
AKTi + ErrBi,NCIH1048,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.0335001276909834,True,True,True Positive,True Positive
AKTi + ErrBi,NCIH1092,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.0140030509137355,True,True,True Positive,True Positive
AKTi + ErrBi,NCIH1155,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.0339671015891904,True,True,True Positive,True Positive
AKTi + ErrBi,NCIH1299,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.026470694788737,True,True,True Positive,True Positive
AKTi + ErrBi,NCIH1341,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.0588576959940371,True,True,True Positive,True Positive
AKTi + ErrBi,NCIH1355,Lung,PD_03-PD_06,PD_03_PD_06,0.0,0.0226533255101892,False,True,False Positive,False Positive
AKTi + ErrBi,NCIH1417,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.0265502945397609,True,True,True Positive,True Positive
AKTi + ErrBi,NCIH1563,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.1041550607774784,True,True,True Positive,True Positive
AKTi + ErrBi,NCIH1623,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.0140030509137355,True,True,True Positive,True Positive
AKTi + ErrBi,NCIH1648,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.0205412905888728,True,True,True Positive,True Positive
AKTi + ErrBi,NCIH1666,Lung,PD_03-PD_06,PD_03_PD_06,0.0,0.1216815232107753,False,True,False Positive,False Positive
AKTi + ErrBi,NCIH1693,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.0248694982299018,True,True,True Positive,True Positive
AKTi + ErrBi,NCIH1694,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.0335001276909834,True,True,True Positive,True Positive
AKTi + ErrBi,NCIH1755,Lung,PD_03-PD_06,PD_03_PD_06,0.0,0.0203041843100414,False,True,False Positive,False Positive
AKTi + ErrBi,NCIH1792,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.0233707163606942,True,True,True Positive,True Positive
AKTi + ErrBi,NCIH1793,Lung,PD_03-PD_06,PD_03_PD_06,0.0,0.0259116130487612,False,True,False Positive,False Positive
AKTi + ErrBi,NCIH1876,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.1188401860902221,True,True,True Positive,True Positive
AKTi + ErrBi,NCIH1944,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.0951747774863098,True,True,True Positive,True Positive
AKTi + ErrBi,NCIH1993,Lung,PD_03-PD_06,PD_03_PD_06,0.0,0.0212341662204628,False,True,False Positive,False Positive
AKTi + ErrBi,NCIH2009,Lung,PD_03-PD_06,PD_03_PD_06,0.0,0.1298970550413795,False,True,False Positive,False Positive
AKTi + ErrBi,NCIH2085,Lung,PD_03-PD_06,PD_03_PD_06,1.0,0.026470694788737,True,True,True Positive,True Positive
