Perturbation,Excess,cell_line,tissue
PD_01_PD_02,-0.0730802851194445,SW13,adrenal
PD_01_PD_03,-0.1050734495664122,SW13,adrenal
PD_01_PD_08,-0.1564679351799521,SW13,adrenal
PD_01_PD_10,-0.1203299839681889,SW13,adrenal
PD_03_PD_05,-0.0061752971239784,SW13,adrenal
PD_03_PD_06,-0.1173610482222828,SW13,adrenal
PD_03_PD_07,-0.0022591628118397,SW13,adrenal
PD_03_PD_08,-0.0836740949907391,SW13,adrenal
PD_03_PD_09,-0.0072437954698312,SW13,adrenal
PD_03_PD_10,-0.0121370195580473,SW13,adrenal
PD_03_PD_11,-0.0131903838359784,SW13,adrenal
PD_03_PD_12,-0.0009337982660855,SW13,adrenal
PD_03_PD_15,-0.0003127590379554,SW13,adrenal
PD_06_PD_08,0.00827482825008,SW13,adrenal
PD_06_PD_10,-0.4037357817319463,SW13,adrenal
PD_06_PD_14,-0.0695266564978535,SW13,adrenal
PD_07_PD_08,-0.0076366546072232,SW13,adrenal
PD_07_PD_10,-0.0017935598021854,SW13,adrenal
PD_08_PD_10,-0.3382753330177018,SW13,adrenal
PD_08_PD_12,-0.0874169910255293,SW13,adrenal
PD_08_PD_14,-0.1567605112153233,SW13,adrenal
PD_08_PD_15,-0.0017522188328293,SW13,adrenal
PD_10_PD_12,-0.0012985938820423,SW13,adrenal
PD_10_PD_13,0.0012365429887641,SW13,adrenal
PD_10_PD_15,-0.0002416390641248,SW13,adrenal
PD_01_PD_02,-0.0057848004657595,EGI1,biliary
PD_01_PD_03,-0.011054396349348,EGI1,biliary
PD_01_PD_08,-0.1678309873559483,EGI1,biliary
PD_01_PD_10,-0.011883848120045,EGI1,biliary
PD_03_PD_05,-3.1296354174870096e-08,EGI1,biliary
PD_03_PD_06,-0.1418298236293572,EGI1,biliary
PD_03_PD_07,-3.823837468885927e-09,EGI1,biliary
PD_03_PD_08,-0.1592737105263094,EGI1,biliary
PD_03_PD_09,-4.4322119752138185e-08,EGI1,biliary
PD_03_PD_10,-7.474431663601067e-07,EGI1,biliary
PD_03_PD_11,-7.477537871114492e-07,EGI1,biliary
PD_03_PD_12,0.0,EGI1,biliary
PD_03_PD_15,-4.9647619349002525e-11,EGI1,biliary
PD_06_PD_08,0.0507070559760273,EGI1,biliary
PD_06_PD_10,-0.4994108128033015,EGI1,biliary
PD_06_PD_14,-0.1005535801547671,EGI1,biliary
PD_07_PD_08,-0.0497602950589318,EGI1,biliary
PD_07_PD_10,-5.098480748699785e-09,EGI1,biliary
PD_08_PD_10,-0.3517810138521546,EGI1,biliary
PD_08_PD_12,-0.0174438868980184,EGI1,biliary
PD_08_PD_14,-0.1179974670527492,EGI1,biliary
PD_08_PD_15,-0.0040775943050562,EGI1,biliary
PD_10_PD_12,-3.6017171467506166e-08,EGI1,biliary
PD_10_PD_13,3.1062330485553957e-10,EGI1,biliary
PD_10_PD_15,-1.6339085640026951e-10,EGI1,biliary
PD_01_PD_02,-0.0047742872282622,ETK1,biliary
PD_01_PD_03,-0.0094280435837277,ETK1,biliary
PD_01_PD_08,-0.0344020503382035,ETK1,biliary
PD_01_PD_10,-0.0101548231594438,ETK1,biliary
PD_03_PD_05,-3.7121689056007763e-09,ETK1,biliary
PD_03_PD_06,-0.022071764893557,ETK1,biliary
PD_03_PD_07,-7.658929046527874e-10,ETK1,biliary
PD_03_PD_08,-0.022158611615198,ETK1,biliary
PD_03_PD_09,-1.8593978545755618e-07,ETK1,biliary
PD_03_PD_10,-1.3005333221460802e-07,ETK1,biliary
PD_03_PD_11,-1.3006979304730493e-07,ETK1,biliary
PD_03_PD_12,-5.850875339774575e-14,ETK1,biliary
PD_03_PD_15,-3.584355035002318e-12,ETK1,biliary
PD_06_PD_08,0.0027946573874418,ETK1,biliary
PD_06_PD_10,-0.5003606278669349,ETK1,biliary
PD_06_PD_14,-0.0127096456048813,ETK1,biliary
PD_07_PD_08,-0.006187040998002,ETK1,biliary
PD_07_PD_10,-6.010786313126458e-10,ETK1,biliary
PD_08_PD_10,-0.2969752047454816,ETK1,biliary
PD_08_PD_12,-8.756618552219209e-05,ETK1,biliary
PD_08_PD_14,-0.0127972117904034,ETK1,biliary
PD_08_PD_15,-0.0003643379958457,ETK1,biliary
PD_10_PD_12,-4.9631524112747634e-08,ETK1,biliary
PD_10_PD_13,1.6462387009141818e-11,ETK1,biliary
PD_10_PD_15,-1.2853162978387898e-11,ETK1,biliary
PD_01_PD_02,-0.0023856833648613,HUCCT1,biliary
PD_01_PD_03,-0.0057677380939731,HUCCT1,biliary
PD_01_PD_08,-0.0348228687259601,HUCCT1,biliary
PD_01_PD_10,-0.0042533550989648,HUCCT1,biliary
PD_03_PD_05,-1.040416189090898e-06,HUCCT1,biliary
PD_03_PD_06,-0.0177345159048986,HUCCT1,biliary
PD_03_PD_07,-1.1577143776975165e-07,HUCCT1,biliary
PD_03_PD_08,-0.0177345159048986,HUCCT1,biliary
PD_03_PD_09,-1.0404151353782254e-06,HUCCT1,biliary
PD_03_PD_10,-1.2442325994621584e-05,HUCCT1,biliary
PD_03_PD_11,-1.244767172547956e-05,HUCCT1,biliary
PD_03_PD_12,0.0,HUCCT1,biliary
PD_03_PD_15,-7.484296626891762e-09,HUCCT1,biliary
PD_06_PD_08,0.00150704848052,HUCCT1,biliary
PD_06_PD_10,-0.5467360155282758,HUCCT1,biliary
PD_06_PD_14,-0.0088525119661178,HUCCT1,biliary
PD_07_PD_08,-0.0026721907614345,HUCCT1,biliary
PD_07_PD_10,-9.115326371489375e-08,HUCCT1,biliary
PD_08_PD_10,-0.4663629382032963,HUCCT1,biliary
PD_08_PD_12,0.0,HUCCT1,biliary
PD_08_PD_14,-0.0088525119661178,HUCCT1,biliary
PD_08_PD_15,-0.0002361128279857,HUCCT1,biliary
PD_10_PD_12,-6.102119920470273e-10,HUCCT1,biliary
PD_10_PD_13,5.351377674323032e-09,HUCCT1,biliary
PD_10_PD_15,-3.746896459766447e-09,HUCCT1,biliary
PD_01_PD_08,-0.0498512922094895,TGBC1TKB,biliary
PD_01_PD_10,-0.0022227022422433,TGBC1TKB,biliary
PD_06_PD_08,1.4080706872698912e-06,TGBC1TKB,biliary
PD_06_PD_10,-0.4402823079537144,TGBC1TKB,biliary
PD_06_PD_14,-0.0392970820510766,TGBC1TKB,biliary
PD_07_PD_08,-3.802570922517568e-05,TGBC1TKB,biliary
PD_07_PD_10,-1.2856826714369164e-11,TGBC1TKB,biliary
PD_08_PD_10,-0.0046115301380522,TGBC1TKB,biliary
PD_08_PD_12,-0.1063676399285015,TGBC1TKB,biliary
PD_08_PD_14,-0.1456235971501329,TGBC1TKB,biliary
PD_08_PD_15,-3.0968489012073164e-06,TGBC1TKB,biliary
PD_10_PD_12,-7.888134589961737e-12,TGBC1TKB,biliary
PD_10_PD_13,7.438494264988549e-15,TGBC1TKB,biliary
PD_10_PD_15,-6.772360450213455e-15,TGBC1TKB,biliary
PD_01_PD_02,-0.0042197626085886,TGBC24TKB,biliary
PD_01_PD_03,-0.0086878862227768,TGBC24TKB,biliary
PD_01_PD_08,-0.0374601940025105,TGBC24TKB,biliary
PD_01_PD_10,-0.0098364108917604,TGBC24TKB,biliary
PD_03_PD_05,-6.768175242477524e-09,TGBC24TKB,biliary
PD_03_PD_06,-0.022957521377409,TGBC24TKB,biliary
PD_03_PD_07,-1.9366147574473302e-09,TGBC24TKB,biliary
PD_03_PD_08,-0.0230799829848694,TGBC24TKB,biliary
PD_03_PD_09,-3.55580345390294e-07,TGBC24TKB,biliary
PD_03_PD_10,-2.250390258584645e-07,TGBC24TKB,biliary
PD_03_PD_11,-2.250850903440238e-07,TGBC24TKB,biliary
PD_03_PD_12,-2.3003821070233244e-13,TGBC24TKB,biliary
PD_03_PD_15,-8.475775636895833e-12,TGBC24TKB,biliary
PD_06_PD_08,0.003296686295042,TGBC24TKB,biliary
PD_06_PD_10,-0.5080823613010655,TGBC24TKB,biliary
PD_06_PD_14,-0.0136966256856706,TGBC24TKB,biliary
PD_07_PD_08,-0.0066378265274648,TGBC24TKB,biliary
PD_07_PD_10,-1.5203118763906787e-09,TGBC24TKB,biliary
PD_08_PD_10,-0.2989615155606342,TGBC24TKB,biliary
PD_08_PD_12,-0.0001237476126986,TGBC24TKB,biliary
PD_08_PD_14,-0.0138203732983692,TGBC24TKB,biliary
PD_08_PD_15,-0.0004057215935638,TGBC24TKB,biliary
PD_10_PD_12,-1.010296346581896e-07,TGBC24TKB,biliary
PD_10_PD_13,4.606870440682087e-11,TGBC24TKB,biliary
PD_10_PD_15,-3.3994140835602587e-11,TGBC24TKB,biliary
PD_01_PD_02,-0.0016981018779986,5637,bladder
PD_01_PD_03,-0.0085414970174401,5637,bladder
PD_01_PD_08,-0.0330456743983824,5637,bladder
PD_01_PD_10,-0.0045983179507216,5637,bladder
PD_03_PD_05,-2.9110792091335824e-06,5637,bladder
PD_03_PD_06,-0.0213158454941024,5637,bladder
PD_03_PD_07,-3.827862313787733e-07,5637,bladder
PD_03_PD_08,-0.0213158454941024,5637,bladder
PD_03_PD_09,-2.911078869405337e-06,5637,bladder
PD_03_PD_10,-2.8303563660125874e-05,5637,bladder
PD_03_PD_11,-2.831010206838513e-05,5637,bladder
PD_03_PD_12,0.0,5637,bladder
PD_03_PD_15,-2.8315756184227325e-08,5637,bladder
PD_06_PD_08,0.0013638188136543,5637,bladder
PD_06_PD_10,-0.5428507657859891,5637,bladder
PD_06_PD_14,-0.0085011877919436,5637,bladder
PD_07_PD_08,-0.0025185867934751,5637,bladder
PD_07_PD_10,-1.0764625790748995e-07,5637,bladder
PD_08_PD_10,-0.4692163345612985,5637,bladder
PD_08_PD_12,0.0,5637,bladder
PD_08_PD_14,-0.0085011877919436,5637,bladder
PD_08_PD_15,-0.0001945437354856,5637,bladder
PD_10_PD_12,-1.1836241986529215e-09,5637,bladder
PD_10_PD_13,6.548558362240442e-09,5637,bladder
PD_10_PD_15,-4.095149996885539e-09,5637,bladder
PD_01_PD_08,-0.0569481787526741,639V,bladder
PD_01_PD_10,-0.0006110258510928,639V,bladder
PD_06_PD_08,2.5287848123167755e-05,639V,bladder
PD_06_PD_10,-0.4959343839149658,639V,bladder
PD_06_PD_14,-0.0619712784364769,639V,bladder
PD_07_PD_08,-0.0003040741388791,639V,bladder
PD_07_PD_10,-1.4435119766176285e-12,639V,bladder
PD_08_PD_10,-0.0221349798847309,639V,bladder
PD_08_PD_12,-0.0150429628290826,639V,bladder
PD_08_PD_14,-0.0770142412627381,639V,bladder
PD_08_PD_15,-3.932485310975675e-05,639V,bladder
PD_10_PD_12,-2.2562951507154597e-11,639V,bladder
PD_10_PD_13,1.3100631690576847e-14,639V,bladder
PD_10_PD_15,-8.437694987151191e-15,639V,bladder
PD_01_PD_08,-0.0159616852861739,647V,bladder
PD_01_PD_10,-0.0012784955273829,647V,bladder
PD_06_PD_08,2.2427956158921347e-08,647V,bladder
PD_06_PD_10,-0.5592606042816772,647V,bladder
PD_06_PD_14,-0.0203174100245874,647V,bladder
PD_07_PD_08,-1.7620048595734517e-06,647V,bladder
PD_07_PD_10,-1.3010592603279749e-11,647V,bladder
PD_08_PD_10,-0.0016300795595265,647V,bladder
PD_08_PD_12,-0.002062864874026,647V,bladder
PD_08_PD_14,-0.0223802748975214,647V,bladder
PD_08_PD_15,-7.800482526576502e-08,647V,bladder
PD_10_PD_12,1.9539925233402758e-13,647V,bladder
PD_10_PD_13,1.9539925233402758e-13,647V,bladder
PD_10_PD_15,-2.383648833870211e-13,647V,bladder
PD_01_PD_02,-0.0730802851194445,BFTC905,bladder
PD_01_PD_03,-0.1050734495664122,BFTC905,bladder
PD_01_PD_08,-0.1564679351799521,BFTC905,bladder
PD_01_PD_10,-0.1203299839681889,BFTC905,bladder
PD_03_PD_05,-0.0061752971239784,BFTC905,bladder
PD_03_PD_06,-0.1173610482222828,BFTC905,bladder
PD_03_PD_07,-0.0022591628118397,BFTC905,bladder
PD_03_PD_08,-0.0836740949907391,BFTC905,bladder
PD_03_PD_09,-0.0072437954698312,BFTC905,bladder
PD_03_PD_10,-0.0121370195580473,BFTC905,bladder
