node,n_incoming,n_outgoing
AKT1,2,11
APAF1,2,1
APC,1,2
AXIN1,2,1
BAD,4,2
BAK,3,1
BAX,5,3
BCL2,5,4
BCL2L1,4,6
BCL2L11,4,4
BCL2_rna,3,1
BID,3,3
BIRC5,2,4
BIRC5_rna,3,1
BRAF,2,1
CASP3,3,1
CASP9,5,2
CCND1,5,1
CDC25A,5,3
CDKN1A,6,5
CDKN1B,5,2
CDKN2A,1,4
CREB1,2,4
CTNNB1,4,2
CYCS,2,2
CyclinB_CDK1,4,1
CyclinD_CDK4_6,6,2
CyclinE_CDK2,7,2
DIABLO,4,2
E2F,3,4
ERK_f,1,13
FOS,3,2
FOXO3,2,4
GSK3B,4,11
IRS2,2,2
JUN,3,2
KRAS,4,2
LEF1,1,1
LRP5,1,1
MAP2K4,1,1
MAP3K1,1,2
MAPK8,1,3
MDM2,2,1
MEK_f,2,1
MYC,9,8
PIK3CA,6,1
RB1,3,1
RPS6K_f,2,4
SMAD3,4,6
STAT3,5,2
TP53,3,6
XIAP,3,3
mTOR_c1,3,4
mTOR_c2,1,1
